wavelength_nm,S11a,S12a,S21a,S22a,S11m,S12m,S21m,S22m
2000.0,3.1026799112363523,-2.314736646401938,-2.310842336554148,-3.1258657954376097,0.047830003717509936,0.8365946265030948,0.8437139860251739,0.03757365780594597
1996.0,3.118127679768618,-2.16020773094058,-2.1563667552150623,-3.1104388653889554,0.04700421822017061,0.8403500498610201,0.847465253050575,0.03715195591676041
1992.0159680638724,3.132121062999912,-2.0054505985667586,-2.00166289210639,-3.094568863539104,0.04606497414071126,0.8440078333770027,0.8511158147605064,0.03664655512305821
1988.0478087649403,3.143849637975177,-1.850466110112528,-1.8467318549781404,-3.078985209307279,0.045038261058700145,0.84756443444682,0.8546619537467671,0.03605525079903875
1984.0954274353878,3.1526053415623063,-1.6952546916486346,-1.6915743185753351,-3.0644702517879985,0.043959407685189106,0.8510166802466715,0.858100429534688,0.035384029226227146
1980.1587301587308,3.1578558280602866,-1.5398163713349702,-1.5361905290736402,-3.0518103354697965,0.04287081983714789,0.854361801111704,0.8614285132532574,0.034647083631909326
1976.2376237623757,3.159325813512797,-1.3841508213918303,-1.3805803156358243,-3.0417367800465467,0.04181888503757025,0.8575974584946421,0.8646440077574499,0.03386628509144867
1972.3320158102767,3.1570753832575256,-1.228257405286339,-1.224743112158063,-3.0348541134421407,0.040850062834909315,0.8607217681388135,0.8677452545091605,0.03307004239450082
1968.4418145956606,3.151555370136326,-1.0721352297656002,-1.0686779913736926,-3.031556204936497,0.04000635601820328,0.8637333192613931,0.8707311294979372,0.03229147197250783
1964.5669291338584,3.143614540348832,-0.915783200901218,-0.9123837123336389,-3.0319375631683614,0.039320621241179216,0.8666311905538985,0.8736010311760182,0.03156582694429197
1960.7072691552062,3.1344377615030123,-0.7592000828991449,-0.7558587810093911,-3.0357163813410897,0.03881244548623909,0.8694149636699107,0.8763548637274405,0.03092723372139483
1956.862745098039,3.125412097468469,-0.602384558127805,-0.5991015224989492,-3.0421946057508844,0.03848543547390937,0.8720847346061432,0.8789930189595414,0.030404971007628775
1953.033268101761,3.1179439192661293,-0.44533528666695915,-0.4421101621890234,-3.0502819788041933,0.03832659737943498,0.8746411230308614,0.8815163597091659,0.03001976867168293
1949.21875,3.1132709500642206,-0.28805096370010136,-0.2848829123500113,-3.0585991906535286,0.038308015111570844,0.877085279224014,0.8839262069464676,0.029780803074664547
1945.4191033138404,3.1123153700301582,-0.1305303732669591,-0.12741806010175558,-3.065649907008989,0.03839044937998619,0.8794188879222552,0.8862243318193905,0.029684079937592395
1941.6342412451365,3.1156061888281075,0.0272275627624545,0.030285947463771782,-3.0700234636569053,0.038528048045639314,0.88164416806518,0.888412952819614,0.029712638911676463
1937.8640776699028,3.12327272683791,0.18522374117248305,0.1882304249699732,-3.07057631898268,0.03867325126706463,0.8837638672627871,0.8904947371839913,0.02983855209769684
1934.108527131783,3.135090833702491,0.34345883950862965,0.3464163806067674,-3.0665502711700583,0.03878116389723177,0.885781249782312,0.8924728046935548,0.030026231098745908
1930.3675048355904,3.1505564199166782,0.5019332834572413,0.5048444605861487,-3.057612192319835,0.03881299020591039,0.8877000769983242,0.8943507312988247,0.03023631380207599
1926.6409266409264,3.168964786183667,0.6606472186997056,0.663514907525447,-3.0438269829045015,0.03873842085324154,0.8895245795584565,0.8961325495676754,0.0304294388528066
1922.9287090558767,3.1894829067297126,0.8196004861183354,0.822427532880766,-3.025589928855694,0.03853704831285276,0.8912594209600747,0.8978227428670772,0.030569440638175106
1919.2307692307693,3.2112101669069397,0.9787925990687997,0.9815817023881439,-3.0035449210470317,0.038198961929016506,0.8929096527682224,0.8994262304650329,0.03062576190525094
1915.5470249520156,3.233228807905987,1.1382227214606246,1.1409763324627216,-2.9785069139134577,0.03772467251510255,0.8944806622743617,0.9009483413450042,0.030575080366746898
1911.8773946360152,3.254648306063453,1.2978896456035371,1.3006098947565345,-2.9513972456645687,0.03712447745801448,0.8959781139375147,0.9023947754002735,0.03040224910135546
1908.221797323136,3.2746487028349085,1.4577917691623803,1.4604804256567117,-2.9231928371599545,0.0364173286842104,0.8974078864024384,0.9037715517278124,0.03010067639718246
1904.580152671756,3.2925270169451086,1.6179270710755245,1.6205855374555191,-2.8948857266838006,0.035629225112350046,0.8987760072024155,0.9050849448622443,0.029672251276934385
1900.952380952381,3.307748470238677,1.7782930868729656,1.7809224282403684,-2.8674472931122628,0.0347911308515117,0.9000885873879291,0.9063414108626854,0.02912688276294698
1897.3384030418254,3.3200003115784873,1.9388868844138702,1.9414878881967537,-2.8417910491072926,0.033936432335604234,0.9013517582605634,0.9075475060806502,0.028481679998972834
1893.7381404174575,3.3292407983066137,2.0997050415776037,2.102278300914996,-2.8187286277031167,0.033098003192971695,0.9025716121356926,0.9087098021016302,0.027759765586112605
1890.151515151515,3.335730615155858,2.2607436278230577,2.263289639343532,-2.7989156698820823,0.03230504904978428,0.9037541486343271,0.9098348007025144,0.026988693186156695
1886.5784499054819,3.3400312166062704,2.421998191726408,2.424517457122199,-2.7827882556745016,0.031580039915391295,0.904905227455686,0.9109288526675857,0.026198442505740265
1883.0188679245282,3.342957437995456,2.5834637565846297,2.585956877040593,-2.7704966755810285,0.030936159037891712,0.9060305279677139,0.9119980839630158,0.025419003786191323
1879.472693032015,3.3454818516225915,2.745134825918504,2.7476025791869794,-2.761851024316352,0.0303757339566636,0.9071355153366492,0.9130483321200409,0.024677652165577886
1875.93984962406,3.348603259447901,2.90700540024346,2.9094487918972414,-2.756299567925035,0.02989000872831474,0.9082254123663452,0.9140850947895925,0.02399614759851674
