wavelength_nm,S11a,S12a,S21a,S22a,S11m,S12m,S21m,S22m
2000.0,3.0850881421947376,-1.5065596862151802,-1.5027689254974417,-3.1108739206448273,0.04249625332126527,0.8582354688024999,0.8655057215354841,0.03291184971292694
1996.0,3.063454026172748,-1.113417441456746,-1.1096864876951082,-3.1401986135586784,0.04294884306895773,0.8610079218220108,0.8682599505021845,0.033261130717998584
1992.0159680638724,3.051598018591006,-0.7197955891002707,-0.7161267363044267,-3.159728468670768,0.04344737607821812,0.8636520515609499,0.8708804724537625,0.03371450170629007
1988.0478087649403,3.043152760758428,-0.32567190835873033,-0.3220663557690887,-3.1762190027161483,0.04398580413158486,0.8661378854920075,0.8733373546405481,0.03430141573939661
1984.0954274353878,3.0367710680332896,0.06897768127199215,0.07252040740138606,-3.18963089231001,0.04480750404702618,0.8684426016476525,0.8756080845358257,0.03526934278463574
1980.1587301587308,3.0385608046282027,0.46417669950831125,0.4676590705282034,-3.1909749540834516,0.04612387243352865,0.8705559711746363,0.8776827085186956,0.03679871432662804
1976.2376237623757,3.058078402333446,0.8599491455900042,0.8633754211006708,-3.168579521622671,0.04783462187779283,0.8724836488420153,0.8795669825184553,0.03874465644785448
1972.3320158102767,3.1012429638999484,1.2563217305809138,1.2596972054844284,-3.1167068857753994,0.04946309361413088,0.8742463655017754,0.881281732142313,0.040612071469543404
1968.4418145956606,3.1664816643927263,1.6533242752886526,1.6566543136478675,-3.0385341583188916,0.0503409544454143,0.8758752224485586,0.8828585460962315,0.04175540316269362
1964.5669291338584,3.2454566715910103,2.0509864245389013,2.0542757732157626,-2.943939468646821,0.04988621277364224,0.8774052663473685,0.8843337006435406,0.04162978667693688
1960.7072691552062,3.3251532040632115,2.4493311405455516,2.4525838525031958,-2.846897308395773,0.047829150187052034,0.8788701848867299,0.8857428515668435,0.03997528675330372
1956.862745098039,3.3891602207635834,2.8483674653703783,2.851587352214753,-2.7646278217971494,0.044342943791328554,0.8803000200234004,0.887118292484805,0.03691793899590186
1953.033268101761,3.419052823837089,3.2480856370824114,3.2512767848067092,-2.717424164051495,0.04008225406370739,0.8817219180386268,0.8884890105970126,0.03300424307912989
1949.21875,3.4000195787751353,3.6484565706594387,3.6516233744633744,-2.7248455536118508,0.036098543230100415,0.8831622636893456,0.8898822952312943,0.029157073955761285
1945.4191033138404,3.335231168887168,4.049435692043151,4.05258218105979,-2.7906324212940947,0.03350465966362381,0.8846479859058362,0.8913250198521749,0.02644415828830175
1941.6342412451365,3.2566651728985447,4.450969308270666,4.454098045739611,-2.883061329431996,0.03283017922086243,0.8862055602160552,0.8928431366837326,0.02551116085002865
1937.8640776699028,3.2034383328804643,4.853001016206396,4.856112220685176,-2.9523238640842084,0.03360465104319167,0.8878577106762864,0.8944590467790176,0.02605468201874677
1934.108527131783,3.1892116862515496,5.255476271684131,5.258567741314113,-2.9764455162450543,0.03479959119495123,0.8896191367687716,0.8961876950895497,0.02713258907660954
1930.3675048355904,3.202875698696068,5.658344609253238,5.661412560803051,-2.9664733682710143,0.03558013354628326,0.8914930764104729,0.8980329193191856,0.02793174670605178
1926.6409266409264,3.22586813858094,6.061560268271748,6.064600631427132,-2.9438030128718267,0.03564282378635121,0.8934700417827355,0.8999855106350242,0.028134258200862055
1922.9287090558767,3.2434426414347253,6.4650825133405245,6.468091938253369,-2.9253820709820544,0.03516475529823114,0.895529033396196,0.9020237523724531,0.027871183455713357
1919.2307692307693,3.2499641693627392,6.868876623848846,6.871852668546827,-2.9175992350063944,0.034563830168786634,0.8976405594983169,0.9041162586361678,0.02749679273087504
1915.5470249520156,3.2499891073860785,7.2729157234789685,7.275856254818471,-2.9153990075451173,0.034187237258655453,0.8997703174100192,0.9062261557757504,0.027302665331439185
1911.8773946360152,3.253174457726482,7.677182857400549,7.680085241132469,-2.908421042680972,0.034081915360399256,0.9018825344934179,0.9083153401929345,0.027311698997670664
1908.221797323136,3.2654735064882967,8.081672397812405,8.084533197116787,-2.890974070001241,0.034008910588782894,0.9039425024312637,0.9103477960265678,0.02729853672449339
1904.580152671756,3.2843465898197994,8.48639006102187,8.489205606579425,-2.867002716963901,0.03367510226913423,0.9059184131550239,0.9122916118420904,0.02700442391974711
1900.952380952381,3.300942671695976,8.891351368658222,8.894118950148474,-2.847339785383156,0.032980212672149616,0.9077829238090492,0.9141200533951775,0.026359767377829177
1897.3384030418254,3.306310304779835,9.296578969763015,9.299297949783675,-2.8426246872714684,0.03211555837625152,0.9095148294424764,0.9158124461977522,0.025571856878477087
1893.7381404174575,3.2985701274992776,9.702099580511616,9.704771754336637,-2.8546181571058944,0.031460759284696126,0.9111008872143687,0.9173554721180148,0.02502546919113058
1890.151515151515,3.286785909050684,10.107941257140181,10.110570256654528,-2.871111516929439,0.0313142242805382,0.9125374245385915,0.918744871862086,0.025015161026170022
1886.5784499054819,3.285692699684988,10.514131339109392,10.516721478046048,-2.873086088501648,0.031633409669332105,0.9138311158874377,0.919986852409405,0.025483162932329124
1883.0188679245282,3.3041147202451886,10.920694887146778,10.923250159596689,-2.8499604012017214,0.03202502931793124,0.9149983972043187,0.9210982049770873,0.02602121427469574
1879.472693032015,3.338686938046204,11.327653079912668,11.330176850786536,-2.806458759574694,0.03199931881193184,0.9160634139959747,0.9221045173004819,0.02613563073387814
1875.93984962406,3.3760738255928056,11.735021061647037,11.737516462887566,-2.758773481744534,0.0312704079319063,0.9170549890236113,0.9230367618188898,0.025535141545671398
