s11a,s11m,s21a,s21m,s31a,s31m,s41a,s41m,s12a,s12m,s22a,s22m,s32a,s32m,s42a,s42m,s13a,s13m,s23a,s23m,s33a,s33m,s43a,s43m,s14a,s14m,s24a,s24m,s34a,s34m,s44a,s44m,wavelengths,freqs
-2.867351500974857,0.03634912823865326,1.3539908742525453,0.01828366294831702,0.38543577985589306,0.7406126172317838,-1.2129662463088882,0.6397262358439354,1.3534795777048756,0.018284562370781264,-2.6888980108689293,0.0360038975502647,-1.2118531307215195,0.6395187140776417,0.3855491142168962,0.7427555898220534,0.3861955637623163,0.7385633658280076,-1.2098900642967623,0.6382489078049473,-2.396845773660905,0.03773272807607081,1.2846147034483675,0.03770339704083699,-1.2111176701445832,0.6374499116073515,0.38652088245602323,0.7393126309307366,1.291155578729424,0.03771588923180654,-2.406027877364149,0.03760651463494088,1.5,0.6666666666666666
-2.758027541979784,0.034775370282358505,0.25634248579000984,0.017943759617673936,-0.22850524544122397,0.748104088611378,-1.8131822070422083,0.6323188323483968,0.25588022808293337,0.017936679842473623,-2.698616101743262,0.04081989512519717,-1.8133279853105615,0.6322838293406063,-0.23002759488239471,0.7499379805594375,-0.2283084843465624,0.7457821014194377,-1.8118228140173904,0.630940904578192,-2.3677803024239084,0.044830525356156954,0.18016409425551916,0.035888272491077934,-1.811319505972158,0.6298837646545417,-0.22920956207153334,0.7466182938367039,0.18750974892744707,0.035927059338757915,-2.375174905026004,0.04404557113088697,1.5020408163265306,0.6657608695652174
-2.6679373420502577,0.039810367438069705,-0.8269930933790295,0.017325142456904138,-0.8433216653915309,0.7523971506727398,-2.4100778061354178,0.6319360745551733,-0.82708220785342,0.01731576667783038,-2.7842057009812287,0.044009054207165145,-2.4106928249344355,0.6313255548074919,-0.845529606194399,0.7531391549543557,-0.8433704456558532,0.7496533527311273,-2.4095687888078934,0.6297662136525084,-2.4688208630389767,0.052861844836964766,-0.914278668604187,0.03345889635544322,-2.407933237573915,0.629521027340536,-0.8449848302738276,0.7497526540339969,-0.9057598222372467,0.033481521500807125,-2.459235679421838,0.052121705372605076,1.5040816326530613,0.6648575305291723
-2.722666152931213,0.04734446512541513,-1.8968273529398274,0.01626369953816255,-1.4550651158650991,0.7538194654122558,-3.0127423092785492,0.6359455029434082,-1.8967496171833593,0.0162592774742599,-2.848683057552013,0.044614204169735217,-3.0126150193694774,0.6349319276708315,-1.4567453882612595,0.7536383413228779,-1.455027075811248,0.750733190885357,-3.0116190119708026,0.6330342682564938,-2.6059448443453537,0.05807246036224961,-2.001973299455253,0.030233352235290868,-3.0105278992305284,0.6337231318647472,-1.456232353211027,0.7500288268119929,-1.9925301398828088,0.03022265185627886,-2.5971381165789054,0.05802090886946474,1.506122448979592,0.6639566395663956
-2.878886326255071,0.052060001816081725,-2.9479114861373126,0.014816610842990558,-2.0619192617753677,0.754614413781989,-3.6221095167564195,0.6388647036089421,-2.94817468741844,0.014815728111307085,-2.8810844801402338,0.045704806216863576,-3.6211034518961687,0.6381576710453871,-2.062720850436079,0.7542042251922623,-2.0617127727634186,0.7513531074134395,-3.6198896178107502,0.635941029941552,-2.7543978030585294,0.06097447601758245,-3.078780598426317,0.026398038729217588,-3.6201404386225127,0.6367572489848031,-2.061920164056358,0.7504817185271949,-3.070008776508863,0.02636609152262763,-2.75194612251061,0.060938524624634414,1.5081632653061225,0.6630581867388362
-3.043931664578124,0.050874861516466516,-3.979315276662409,0.013134155798614974,-2.665318482287819,0.7568883886945826,-4.232510065730221,0.6379236880831575,-3.9800793965110923,0.013129359409554911,-2.9317325600054587,0.0479180858433885,-4.23153195745744,0.6378410294995629,-2.665688605865827,0.7566543782085206,-2.6649605820875553,0.7534850421819227,-4.229854942805977,0.6354876820767174,-2.9009752022156503,0.06065024246326036,-4.141949232633706,0.02227803634276239,-4.230721137328217,0.6357278261835662,-2.664606040641194,0.7530757544050944,-4.13530664992028,0.022249502824030452,-2.8974755414421858,0.06055587677368069,1.510204081632653,0.6621621621621622
-3.131652575418854,0.04609507844763571,-5.001424267144112,0.011207384792885501,-3.2679315135010736,0.7606122645248237,-4.838690750272837,0.6344528218426821,-5.002316482232372,0.011195912010148077,-3.0268030419925678,0.04966970768909425,-4.838447336208247,0.6346242812079157,-3.268274451356842,0.7604404563993792,-3.2673245779378166,0.7570955497681343,-4.83632324652273,0.6323725397115633,-3.0192519770084525,0.05819881497471707,-5.200877795687471,0.01791584106447679,-4.836716164084268,0.6321683634443486,-3.2672127663763386,0.757097614050536,-5.1963304008478355,0.01791869514203666,-3.0165273583148045,0.058236796704487045,1.5122448979591836,0.6612685560053981
-3.126889386393489,0.042527192478774234,-6.029232884657191,0.008884535638736856,-3.8705873663593344,0.7643146841153603,-5.440111859966895,0.6312540704682345,-6.02992021059664,0.008870977182103798,-3.1501989248634845,0.04846649213421065,-5.440368651914983,0.6312302276473976,-3.8707641745356662,0.7640175544447813,-3.869656624756995,0.7608054681902781,-5.438053288674412,0.629206503605071,-3.118421263798406,0.05476194256230271,-6.282666128257221,0.013087716572569012,-5.437824481452197,0.6291069604763961,-3.86992320755983,0.7607664254566443,-6.278559239701459,0.013129940266783576,-3.1170880710663886,0.054790064864962434,1.5142857142857142,0.6603773584905661
-3.105207401164693,0.04231903616574754,-7.083780070534412,0.006190782717797853,-4.472217671077551,0.7671079870698886,-6.039662607206787,0.6293553250571173,-7.084575497548304,0.006179659541715995,-3.2394038101470235,0.043784049762047354,-6.039869672397329,0.6291616267856325,-4.4719744894579705,0.7668706551663642,-4.47101359687859,0.7637859765925389,-6.037592802986552,0.6273096108284828,-3.191173674742351,0.050087237736949036,-7.46599145791202,0.007869589857450697,-6.037339884668519,0.6274983207689963,-4.471273237826971,0.7635615315294014,-7.459000878133672,0.00791785955840194,-3.1903530246868543,0.050127460258661403,1.5163265306122449,0.6594885598923285
-3.1451167105857696,0.04316688750191211,-8.256420280842132,0.0035348608441435592,-5.0718173448589,0.7692898141124201,-6.639000151827441,0.6276818702168696,-8.258733382723003,0.003526681934512989,-3.233840064175675,0.038444311510977804,-6.6391969832345445,0.6275866440617949,-5.071425633817187,0.7694085918432818,-5.070614054573081,0.7662545002873813,-6.63694581322402,0.6258242951986976,-3.2178378363403666,0.0452478408958431,-9.17737794730563,0.003734467007120597,-6.636966054649227,0.6260375708303871,-5.0707006247863,0.7660422738462839,-9.165552938559408,0.0037185049088430105,-3.2179639288179196,0.045274505451934476,1.5183673469387755,0.6586021505376344
-3.22149415664157,0.04131988633562317,-9.979517535241659,0.0019299705893836676,-5.669557704443336,0.7713639892564019,-7.237079216528916,0.6254333082970277,-9.986310949567898,0.0019301737091696697,-3.1417831644780962,0.03622032735519802,-7.2377584539057285,0.6253755509684371,-5.669532959282243,0.7716951772712652,-5.6685919925394375,0.7684529824923475,-7.23545641395776,0.6237425027589121,-3.1974140668553805,0.041431372726774884,-11.316594231242714,0.005112541947982784,-7.235370429490365,0.6238169374073153,-5.668739362484753,0.7683679680847361,-11.32279665968257,0.005108517821571147,-3.197791888731008,0.041437320049400976,1.5204081632653061,0.6577181208053691
-3.233240089929365,0.03665760043174121,-11.791483186588547,0.0027763988667438458,-6.265916077787008,0.7731045158819999,-7.83299306309951,0.6231746665586202,-11.794850163054601,0.0027857178594374197,-3.0770139021466973,0.037827057927203686,-7.834158121226198,0.6227210348250106,-6.266223012248804,0.7731737921481724,-6.265069447342158,0.7701043257948503,-7.831882422199984,0.6212982635122302,-3.143141771167277,0.03944900411076529,-12.562392749730888,0.008501551177958214,-7.831397364614365,0.6215181472297524,-6.265464571140627,0.7699413324057577,-12.564540672924949,0.008577026500299659,-3.1429254008311016,0.039449303062806716,1.5224489795918368,0.6568364611260054
-3.1088852501521598,0.034113080946509625,-12.945328871643856,0.00426138478402324,-6.860473569229501,0.7740240980676967,-8.427958338763448,0.6214706003097834,-12.946761721755031,0.004270944101028973,-3.08891882586067,0.039918341416451196,-8.42880243091809,0.6204250565414408,-6.860409713267496,0.773662049528686,-6.859421002213556,0.7709313644546262,-8.426720255821934,0.619214756910944,-3.0857121075548295,0.03966920723000149,-13.57854384615662,0.01101026110237761,-8.42637612520619,0.619871120380867,-6.859771675910528,0.7704556399672458,-13.576793762504558,0.011156006056097713,-3.0859919712866386,0.03977911031114686,1.5244897959183674,0.6559571619812583
-3.0024211796193203,0.03797847432220842,-13.908137114551732,0.005298266856760571,-7.45226129746759,0.77429570808711,-9.023727181663569,0.6193208911383222,-13.908764729627556,0.005308428391509352,-3.1326394182696182,0.040708776003428364,-9.023561250484494,0.6180969706403959,-7.451182760291515,0.7740462545006024,-7.450779105015127,0.771403276956925,-9.021758429145034,0.6170268675949349,-3.073439289187694,0.04181314611854994,-14.545798337482218,0.012193026223587129,-9.022330587860463,0.6178329736967679,-7.450588440081148,0.7707888194690361,-14.541989420591543,0.012363349384126358,-3.0785259284766724,0.04186454443876194,1.526530612244898,0.6550802139037433
-3.0660707197758876,0.043349074449119646,-14.797235340986,0.005818606921477432,-8.040936389800526,0.7748175259194888,-9.619185291617953,0.6146394987377644,-14.797711970496094,0.005830920127130809,-3.1791870802806885,0.03991877859379028,-9.618319997398476,0.6138009957352751,-8.03927140058383,0.7755961594959269,-8.039334998317951,0.7725314912805166,-9.616732897431774,0.6128442511197262,-3.1348908900796104,0.04290730536704258,-15.50402082375667,0.012041000156415606,-9.618115701446579,0.6131415661015838,-8.038615121581383,0.7723138908265087,-15.498947412638723,0.012188915238485906,-3.1363643622342887,0.04282459650127887,1.5285714285714287,0.6542056074766355
-3.208073533782529,0.04390010596160692,-15.674793280091016,0.006121231480443764,-8.627428997307115,0.7763797777245622,-10.209515943632441,0.606873426280092,-15.675530191640345,0.0061347915006237305,-3.184574350288963,0.03810448047565903,-10.208881029009339,0.6064659192441129,-8.626719204649767,0.7783667675218946,-8.626465655627548,0.7746975070590166,-10.207575432883482,0.6057109380289039,-3.1857299609196237,0.040262208522828226,-16.462565228012885,0.011048216525233322,-10.208590664857612,0.6052178708225086,-8.625993819679966,0.7751347236838839,-16.45756768390294,0.011167777618617104,-3.1896850985036553,0.040572655868062295,1.530612244897959,0.6533333333333333
-3.3023147524285927,0.03935831557170753,-16.61245233704504,0.006359671842446127,-9.21316000989456,0.7787541697292679,-10.790323457771526,0.5988514470291727,-16.613272118056194,0.006372401393407685,-3.1547811358865885,0.03787194195557184,-10.790361920097359,0.5983643364116291,-9.214478779226573,0.7808731026690552,-9.213308301139763,0.7771422639762781,-10.789678292634186,0.5977531043458184,-3.136450512520432,0.037490620704789174,-17.43494160056873,0.009962973619623198,-10.789187926493089,0.5970834543611186,-9.213788343289455,0.7777428518636361,-17.432512296931062,0.010084901123924595,-3.1605594753926454,0.03738282042098644,1.5326530612244897,0.6524633821571239
-3.2508231878974594,0.033837114037105404,-17.626309990628453,0.006534335208466357,-9.798622573530622,0.7808778444172221,-11.363295778255193,0.5950162382401807,-17.626697634419237,0.006546142740586242,-3.15619831269916,0.038564553757874584,-11.363368674959332,0.5939610264673498,-9.801319104774441,0.7817922904494663,-9.799611697599298,0.7786861167367467,-11.363387753263936,0.5932019917974239,-3.052844626755566,0.03792828580088111,-18.425116765462153,0.00926948093082958,-11.361856248647925,0.5933369408017357,-9.800797028099012,0.7786960684299069,-18.426397509014116,0.009433863221785807,-3.0591301243618116,0.0368381307566347,1.5346938775510204,0.6515957446808511
-3.059016753504012,0.03387929860619733,-18.66057464282543,0.0068912969846614686,-10.382934954701215,0.7817750640323748,-11.936620694792522,0.5971496719006486,-18.660372711016393,0.0069041877564182215,-3.153019527563443,0.03857608504416312,-11.93555495882093,0.5956624052626458,-10.385207101632904,0.7811762667917372,-10.38391395418127,0.7787977290296305,-11.935908594433267,0.5945309934749399,-2.984020338406462,0.04086649862524531,-19.3818333246551,0.009098914243964527,-11.935135759007537,0.5956707316871371,-10.384803996301859,0.7779684242940832,-19.385260576768374,0.009330224987987515,-2.970464630923085,0.04045089843298297,1.536734693877551,0.650730411686587
-2.9918855455417757,0.041631152915442705,-19.650321800154874,0.00787376267442832,-10.964321122551066,0.7814550614716662,-12.518060757064031,0.6020616035068268,-19.64995668642544,0.007889311242155795,-3.1295434740697203,0.04016380489224166,-12.515483453066311,0.6009078674789832,-10.964864837992899,0.7803975526876485,-10.964665863902928,0.7781207990763597,-12.515606827496265,0.5994027842153604,-2.9765106351077106,0.047603181167842235,-20.22917178066219,0.0096234221330012,-12.516797816780699,0.6006991960518868,-10.964374917437889,0.777042651313053,-20.234997049715272,0.009910425925251778,-2.9768006556987143,0.04738107199367252,1.5387755102040817,0.649867374005305
-3.1272090885811346,0.049535001779992,-20.592396786427212,0.009702680220978685,-11.541715809843932,0.7813545636890987,-13.1077416230814,0.6039077726962755,-20.592333817183142,0.009719847398686648,-3.1569410858867286,0.043877279470753636,-13.10464274143788,0.6036921551942618,-11.541115824762578,0.781262609762865,-11.541546217255926,0.7782080372788406,-13.104156108348844,0.6021607681469355,-3.0961223068987587,0.05521460403341459,-20.982333686546504,0.011300345665313266,-13.106665429749073,0.6025004024975963,-11.540378525821053,0.7778538384477559,-20.99138115402837,0.011584682516118595,-3.0914801789093205,0.05452971661920194,1.5408163265306123,0.6490066225165563
-3.340897755442312,0.0516788306111873,-21.50974649098032,0.012022100202077828,-12.116395103993224,0.7830153080343287,-13.697855695458065,0.5990849454273729,-21.509966051057603,0.012036809223498814,-3.2614861440698473,0.04748253455261889,-13.695506567559603,0.599600207872774,-12.116551580771832,0.7840928689893726,-12.116301683752516,0.7802564668609285,-13.694842992401725,0.5984623468399302,-3.2862186466278827,0.05875996966415843,-21.73061461400811,0.014070629242958241,-13.696659515951923,0.5976296926112674,-12.115536248262805,0.7807971660629767,-21.738983459818037,0.014284614598784103,-3.278659480765323,0.05850881926022853,1.542857142857143,0.6481481481481481
-3.545018721251035,0.047706468471273106,-22.392936985131747,0.014157181204062515,-12.690613952475497,0.7862146457460417,-14.278993229673636,0.5893097429981677,-22.39310107883736,0.014167081553332617,-3.429238462579115,0.04842084043100629,-14.277711245586108,0.5898756247060594,-12.692564699549225,0.7872562347667053,-12.691156260960865,0.783540215520043,-14.277712490663426,0.5890352055229466,-3.490935152159254,0.057607534485779086,-22.48751554212975,0.017094007988225923,-14.277567388146188,0.5880233764406368,-12.691450227264339,0.7842362891855346,-22.49330960039562,0.0172269830886109,-3.4932299305818577,0.05716718846084692,1.5448979591836736,0.6472919418758256
-3.681101611687355,0.03983706510963276,-23.220451614624494,0.015878295589998783,-13.264977037319007,0.789546268562868,-14.847678095031602,0.5799542851423009,-23.220399576594897,0.01588637499405345,-3.6175029599238075,0.04467789150042555,-14.846759797607092,0.5801399875329412,-13.267955861215585,0.7892895733613614,-13.266074698700645,0.7863859673717406,-14.847670541188686,0.5790995306754037,-3.690982354241246,0.05199489725899244,-23.218622372350104,0.02012075333313968,-14.846366798095769,0.5789663963583699,-13.267045297919013,0.7865327430394358,-23.223610770405013,0.020177141090667712,-3.684083279232962,0.05077004488694856,1.5469387755102042,0.646437994722955
-3.6751556686464926,0.03201734133113121,-24.004458927169704,0.01767007333466892,-13.83856790042184,0.7921823982624036,-15.408517451459355,0.5754328493034354,-24.00433939496083,0.017680315806460435,-3.7562043421025084,0.03694930938315842,-15.407041709106,0.5753999116352049,-13.84088312246558,0.790388445030841,-13.839543386893107,0.7883046795916718,-15.408292839632095,0.5737442517751888,-3.8367852746590403,0.04271192544282184,-23.93899744794484,0.023931921469435607,-15.407691939083861,0.5745965355285133,-13.840330686733394,0.7876981662526423,-23.943705896854926,0.023920414073138926,-3.8032553092510195,0.042126242438621266,1.5489795918367348,0.6455862977602107
-3.552526963132975,0.029219968422394133,-24.800291728619616,0.019887956222030392,-14.410399170851095,0.7941235815315558,-15.969669055539978,0.5763482571420404,-24.800346900205728,0.01990072805374307,-3.757744213409387,0.028502215087283185,-15.967486637897009,0.5766478082402788,-14.410788632324268,0.7917199371127792,-14.410668334280404,0.7898244097886463,-15.968060430424607,0.5743747715657387,-3.845048954212494,0.03379804516674633,-24.70814429199867,0.02882377235415944,-15.969334650096563,0.5754061450731244,-14.410495247709209,0.7888954435917653,-24.71374823369001,0.028781309609058312,-3.819831769491327,0.034447847884942,1.5510204081632653,0.6447368421052632
