s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths
0.510305367232223,0.038569198155116634,2.949452246386541,0.9976299828139737,0.038569198155116634,0.510305367232223,0.9976299828139737,2.949452246386541,1.5
-1.3871124184554473,0.049847471192938184,1.954243138508919,0.9984163562554377,0.049847471192938184,-1.3871124184554473,0.9984163562554377,1.954243138508919,1.5020408163265306
-3.126236198056698,0.0522939276806419,0.9584719485143122,0.9990212965160271,0.0522939276806419,-3.126236198056698,0.9990212965160271,0.9584719485143122,1.5040816326530613
-4.930230661038202,0.04388791789321417,-0.03258720600003203,0.9968147620444772,0.04388791789321417,-4.930230661038202,0.9968147620444772,-0.03258720600003203,1.506122448979592
-6.974812327993032,0.03520994191644773,-1.0190583432423412,0.9979288893035179,0.03520994191644773,-6.974812327993032,0.9979288893035179,-1.0190583432423412,1.5081632653061225
-9.109078354476264,0.03578641456018451,-2.0068240615268524,0.9993072449823711,0.03578641456018451,-9.109078354476264,0.9993072449823711,-2.0068240615268524,1.510204081632653
-11.079818635852943,0.03837872461807496,-2.990573630070132,0.9966142793623478,0.03837872461807496,-11.079818635852943,0.9966142793623478,-2.990573630070132,1.5122448979591836
-13.033211601696133,0.03859548120793465,-3.968195803671333,0.9965031454877649,0.03859548120793465,-13.033211601696133,0.9965031454877649,-3.968195803671333,1.5142857142857142
-14.991072177885568,0.041342645850365595,-4.946672052865509,0.9984427430588765,0.041342645850365595,-14.991072177885568,0.9984427430588765,-4.946672052865509,1.5163265306122449
-16.80442524974072,0.043582709878681423,-5.922816969755241,0.9961996238214693,0.043582709878681423,-16.80442524974072,0.9961996238214693,-5.922816969755241,1.5183673469387755
-18.561139016804834,0.037033674401209686,-6.8920218488946,0.995101748516615,0.037033674401209686,-18.561139016804834,0.995101748516615,-6.8920218488946,1.5204081632653061
-20.633217136143784,0.025779160908406814,-7.86099943048395,0.9977126938221967,0.025779160908406814,-20.633217136143784,0.9977126938221967,-7.86099943048395,1.5224489795918368
-22.97857371590911,0.02961912465847476,-8.830014527381653,0.9967845012505941,0.02961912465847476,-22.97857371590911,0.9967845012505941,-8.830014527381653,1.5244897959183674
-24.82793162981635,0.03871426691128759,-9.792290871076272,0.9944193622588435,0.03871426691128759,-24.82793162981635,0.9944193622588435,-9.792290871076272,1.5265306122448983
-26.5815605053798,0.03736196197559595,-10.751794895194818,0.9961866079015425,0.03736196197559595,-26.5815605053798,0.9961866079015425,-10.751794895194818,1.5285714285714287
-28.58893045996099,0.032403366942596906,-11.71243191282621,0.9965598314416494,0.032403366942596906,-28.58893045996099,0.9965598314416494,-11.71243191282621,1.530612244897959
-30.638474756245447,0.03723487509516942,-12.667829262133647,0.9939471683620544,0.03723487509516942,-30.638474756245447,0.9939471683620544,-12.667829262133647,1.5326530612244897
-32.42842000145568,0.042488669449503955,-13.61866356654072,0.994536684366735,0.042488669449503955,-32.42842000145568,0.994536684366735,-13.61866356654072,1.5346938775510204
-34.21802639017572,0.03938771637550078,-14.570319917244687,0.9957675026612233,0.03938771637550078,-34.21802639017572,0.9957675026612233,-14.570319917244687,1.536734693877551
-36.21502986201325,0.036201967586445824,-15.518668867051337,0.9935986489201314,0.036201967586445824,-36.21502986201325,0.9935986489201314,-15.518668867051337,1.5387755102040817
-38.172715843607854,0.04197434311545448,-16.46139014090732,0.9932611699613741,0.04197434311545448,-38.172715843607854,0.9932611699613741,-16.46139014090732,1.5408163265306123
-39.920409595261816,0.04702686713897287,-17.40410626526711,0.9951757323180863,0.04702686713897287,-39.920409595261816,0.9951757323180863,-17.40410626526711,1.542857142857143
-41.64329644063042,0.04379640768610985,-18.345387859632513,0.9939944887506724,0.04379640768610985,-41.64329644063042,0.9939944887506724,-18.345387859632513,1.5448979591836736
-43.51709165509555,0.03738888995504625,-19.280895399665244,0.9928297635651864,0.03738888995504625,-43.51709165509555,0.9928297635651864,-19.280895399665244,1.546938775510204
