s11a,s11m,s21a,s21m,s31a,s31m,s41a,s41m,s12a,s12m,s22a,s22m,s32a,s32m,s42a,s42m,s13a,s13m,s23a,s23m,s33a,s33m,s43a,s43m,s14a,s14m,s24a,s24m,s34a,s34m,s44a,s44m,wavelengths,freqs
-3.1205189519889305,0.15940374155432463,2.441507305377047,0.004160970828139564,1.9066374001602815,0.44259204164777527,0.37062416390881914,0.7503562737876999,2.4419465865999,0.004161425229734331,-3.1205125305300974,0.15940375003326268,0.37062039354883425,0.7503547353342569,1.9066440472603592,0.44259246743521086,1.8674776767953711,0.43882750354697764,0.333984295311781,0.7452693194059661,-1.1343481533721127,0.23444362566339305,2.4298451148781006,0.27160791778321297,0.33398361246678493,0.7452813001473811,1.8675460778447759,0.43882605722090223,2.4294766950773514,0.2715956796184876,-1.1339761365939485,0.23434809474394597,1.5,0.6666666666666666
-3.1251943820652714,0.16277502065958482,1.0616530503624242,0.0035765291853489065,1.1412542839831985,0.4463103358058308,-0.4025263538221541,0.7547654698983103,1.0615383492363788,0.003574875285572377,-3.1251889243373734,0.1627745192751511,-0.4025290165150009,0.7547688182037651,1.1412541814858133,0.44630811569339396,1.1100094461821834,0.4257344198409535,-0.42982359009587734,0.7216428252570272,-2.2966826991152276,0.2048113097897688,1.100811332196719,0.2050317631942806,-0.42979567471613983,0.7216549091633588,1.1100273210122653,0.42571500657158934,1.100629645335882,0.20511952924926952,-2.2972552421452694,0.20474546446820696,1.5020408163265306,0.6657608695652174
-3.1445387270243423,0.1637247959186317,-0.24695687773660951,0.0033444829207482317,0.36656214060572134,0.4489521179248212,-1.172654372070786,0.7581483866812385,-0.24730666099555687,0.0033454299011784405,-3.144535413626554,0.163724018363529,-1.1726515299833844,0.7581502920076937,0.3665583890512953,0.44895271402409176,0.36246947957784426,0.422975556629408,-1.1710897763783874,0.7162696747672012,-3.211187717443175,0.21417323722953904,-0.20923530882238117,0.17101888161046833,-1.1710658435713952,0.7162526177256459,0.3624558426875882,0.42297385363570694,-0.20895263328172745,0.17105312528445346,-3.2113918222257998,0.21427559372765337,1.5040816326530613,0.6648575305291723
-3.1579540963002395,0.16202296829057788,-1.5455062801650485,0.003234902912965512,-0.4038180162201511,0.4486504524361226,-1.9400999844751279,0.7599185599932256,-1.5451428670627017,0.0032354457706155783,-3.1579533624395584,0.16202207710403632,-1.9400995884384762,0.759915625701862,-0.40381538959091695,0.448651714432992,-0.3923817188374972,0.42727751632899946,-1.9216070587082597,0.7254580329028492,-3.788287532764168,0.19724370417426046,-1.5512869801031872,0.1617763022642337,-1.9216287794582154,0.7254394023113252,-0.39236782842547496,0.4272787652622107,-1.5512778824563067,0.1617505294520734,-3.7879224007055567,0.19730463656383387,1.506122448979592,0.6639566395663956
-3.161611709575079,0.1606090798733823,-2.8609547832139826,0.003053333725180622,-1.1656840288301897,0.4492685812332397,-2.7032054353159802,0.7583237221336564,-2.8609879599950685,0.003052253696660606,-3.161613175878655,0.1606082567350024,-2.703211439379414,0.7583222494411596,-1.1656819876653037,0.44926678847598833,-1.1539375014870108,0.4306112999675637,-2.6834554488117046,0.7279814318563257,-3.9885657336870164,0.181248545887467,-2.8774411155368504,0.1565275988328224,-2.683476447760755,0.7279923267318671,-1.153934491240499,0.43060370307530205,-2.877518738610602,0.15655444115433562,-3.98830221260331,0.18125250857938469,1.5081632653061225,0.6630581867388362
-3.1705775215922376,0.15949677237073126,-4.16653988104835,0.002997217195091962,-1.9261253461195933,0.4533295628848142,-3.4594358622963193,0.7564823296789187,-4.166779182719337,0.002997787430931348,-3.1705809552793744,0.1594962691679116,-3.459439264488466,0.7564851883782572,-1.9261307727546062,0.45332889349926103,-1.906194438628224,0.43499988173283644,-3.4316951910644136,0.726082135870687,-4.20438065885954,0.22027564718640488,-4.1293167379078035,0.15368557081917122,-3.4316819327303647,0.7260922889360125,-1.9062026556704323,0.4350033789913713,-4.129052583357755,0.15368321329446114,-4.204440102008077,0.22028755760289145,1.510204081632653,0.6621621621621622
-3.178245142939353,0.15659601802935166,-5.428500834500385,0.003310447376953952,-2.6912669904644635,0.45753721005677667,-4.214476897596223,0.7578245418842248,-5.428278133451373,0.0033107158526717024,-3.1782500505547424,0.15659602744254325,-4.214473867881182,0.7578248601547626,-2.691267996281368,0.45754033507116976,-2.6620069031341824,0.4455772706751995,-4.178410867285571,0.7365370801479145,-4.657491791437195,0.24664477460256098,-5.343624459841446,0.16330411101136147,-4.178406521784944,0.7365318771562223,-2.661984479140505,0.44558222400925235,-5.343747938506806,0.1632689091371332,-4.65749648142169,0.24670343995043137,1.5122448979591836,0.6612685560053981
-3.173200348209028,0.15342460081741408,-6.625793529873009,0.003899345566713327,-3.4558982198658246,0.4586323583519625,-4.97374433170021,0.7595075106518517,-6.625820563384837,0.0038987171474675754,-3.1732050060665813,0.15342518888723855,-4.973744833458969,0.7595029455477195,-3.455889897600146,0.4586326567510396,-3.4312719817037536,0.45487146151530056,-4.943429110456761,0.7499015305753765,-5.1493581589322375,0.23160166693707984,-6.547480389126639,0.18314818378333006,-4.94343942463307,0.74990803924944,-3.4312570781991276,0.45486195506077254,-6.547590197997478,0.18318691112312402,-5.149095766512855,0.2316331843603982,1.5142857142857142,0.6603773584905661
-3.1609886025429152,0.15147368904299985,-7.756995650026713,0.004518683586497083,-4.212513070501554,0.4563910232308646,-5.736240850314317,0.7581977567787839,-7.757076878948145,0.004519023360495872,-3.160990624997203,0.15147471813381652,-5.736247846982009,0.7581965863128399,-4.212512549191178,0.45638657298713536,-4.200473481100003,0.4570166016813657,-5.7197389708279625,0.7542032513333937,-5.612915765245158,0.19512463226684934,-7.707915989452069,0.20436980168032376,-5.719731771137021,0.7542132988872504,-4.2004846298410445,0.4570134780809565,-7.707714273659523,0.20437401911194877,-5.6127005339121645,0.19509008850694146,1.5163265306122449,0.6594885598923285
-3.149170047342923,0.15089118782244956,-8.828477823525542,0.004887212123579802,-4.954633638097121,0.4529828662784998,-6.498964929026849,0.7522621842160259,-8.828391443667597,0.004887276719489156,-3.149167692844601,0.1508922215578363,-6.498966607032375,0.7522663702234523,-4.954644568908585,0.4529826318516087,-4.954366612240426,0.4534500145947744,-6.495233112799674,0.7467505775764278,-6.0197128464963985,0.147525782643665,-8.799745142274185,0.21348980030111758,-6.49523453448416,0.7467466152960845,-4.954357532768835,0.45345344304907964,-8.799808061463075,0.21346708415463952,-6.0198601359447865,0.14750696081353645,1.5183673469387755,0.6586021505376344
