s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths
-0.8339814848355129,0.005762487580047055,-0.666082478806626,0.9936720883957078,0.005762487580047055,-0.8339814848355129,0.9936720883957078,-0.666082478806626,1.5
-0.9687154981580007,0.0060497849821952296,-0.7351214658938685,0.9936052097467826,0.0060497849821952296,-0.9687154981580007,0.9936052097467826,-0.7351214658938685,1.5020408163265306
-1.0963454848456495,0.0063372441537111,-0.8039723207960272,0.9935338851586165,0.0063372441537111,-1.0963454848456495,0.9935338851586165,-0.8039723207960272,1.5040816326530613
-1.2177460238675855,0.006622392550505612,-0.8726442844210879,0.9934603537790112,0.006622392550505612,-1.2177460238675855,0.9934603537790112,-0.8726442844210879,1.506122448979592
-1.3335822683974703,0.006898522692855009,-0.9411359399903608,0.9933868216733504,0.006898522692855009,-1.3335822683974703,0.9933868216733504,-0.9411359399903608,1.5081632653061225
-1.444609384842418,0.007166636089708492,-1.0094468364040006,0.9933097228815679,0.007166636089708492,-1.444609384842418,0.9933097228815679,-1.0094468364040006,1.510204081632653
-1.5512941988888873,0.007421878980153998,-1.0775771338179239,0.9932306246389966,0.007421878980153998,-1.5512941988888873,0.9932306246389966,-1.0775771338179239,1.5122448979591836
-1.6541792412306928,0.007659491400782332,-1.1455271798215574,0.9931470758123095,0.007659491400782332,-1.6541792412306928,0.9931470758123095,-1.1455271798215574,1.5142857142857142
-1.7535943129834766,0.007878577909866914,-1.213294607569259,0.9930602760005944,0.007878577909866914,-1.7535943129834766,0.9930602760005944,-1.213294607569259,1.5163265306122449
-1.8499581245385994,0.008079857466381722,-1.2808862213529706,0.9929762957702855,0.008079857466381722,-1.8499581245385994,0.9929762957702855,-1.2808862213529706,1.5183673469387755
-1.9436712707942145,0.008258578781597038,-1.3483020190701105,0.9928886616061423,0.008258578781597038,-1.9436712707942145,0.9928886616061423,-1.3483020190701105,1.5204081632653061
-2.03478607301909,0.008415602496914698,-1.4155364848309588,0.9927995163769906,0.008415602496914698,-2.03478607301909,0.9927995163769906,-1.4155364848309588,1.5224489795918368
-2.123565645170615,0.008550078208040424,-1.4825976310689828,0.9927057341938015,0.008550078208040424,-2.123565645170615,0.9927057341938015,-1.4825976310689828,1.5244897959183674
-2.2102199814528434,0.008660268475288656,-1.549487314608933,0.9926125424235817,0.008660268475288656,-2.2102199814528434,0.9926125424235817,-1.549487314608933,1.5265306122448983
-2.294933186239779,0.008747910552589316,-1.6161955603249023,0.9925192275086775,0.008747910552589316,-2.294933186239779,0.9925192275086775,-1.6161955603249023,1.5285714285714287
-2.377702176858795,0.008809107827498353,-1.6827352078774265,0.9924244422584944,0.008809107827498353,-2.377702176858795,0.9924244422584944,-1.6827352078774265,1.530612244897959
-2.4587720543311002,0.008846435080764221,-1.7490987824942021,0.9923254766211994,0.008846435080764221,-2.4587720543311002,0.9923254766211994,-1.7490987824942021,1.5326530612244897
-2.538077168401367,0.008859644998434757,-1.8152889741531602,0.9922280477347606,0.008859644998434757,-2.538077168401367,0.9922280477347606,-1.8152889741531602,1.5346938775510204
-2.615685357331615,0.008850621206402022,-1.8813061694748232,0.9921309603186015,0.008850621206402022,-2.615685357331615,0.9921309603186015,-1.8813061694748232,1.536734693877551
-2.691706558420518,0.008816481739685784,-1.9471553740059324,0.9920319739195562,0.008816481739685784,-2.691706558420518,0.9920319739195562,-1.9471553740059324,1.5387755102040817
-2.7660919547976035,0.00876033284263908,-2.0128314608344593,0.9919316605075548,0.00876033284263908,-2.7660919547976035,0.9919316605075548,-2.0128314608344593,1.5408163265306123
-2.8390659346779867,0.008682295767718963,-2.0783380770957796,0.9918311066312718,0.008682295767718963,-2.8390659346779867,0.9918311066312718,-2.0783380770957796,1.542857142857143
-2.9103044491393737,0.008582882838830248,-2.1436720681302166,0.991729690050035,0.008582882838830248,-2.9103044491393737,0.991729690050035,-2.1436720681302166,1.5448979591836736
-2.979899929097196,0.008463403859942573,-2.2088434181716625,0.9916268003225769,0.008463403859942573,-2.979899929097196,0.9916268003225769,-2.2088434181716625,1.546938775510204
-3.048071421050026,0.008325977178711362,-2.273846717395249,0.9915255480147636,0.008325977178711362,-3.048071421050026,0.9915255480147636,-2.273846717395249,1.5489795918367348
-3.1142949666262427,0.00817038838374168,-2.3386789533788526,0.9914231380033859,0.00817038838374168,-3.1142949666262427,0.9914231380033859,-2.3386789533788526,1.5510204081632653
-3.1789832580169626,0.007998420527055317,-2.4033438271953265,0.9913190293409976,0.007998420527055317,-3.1789832580169626,0.9913190293409976,-2.4033438271953265,1.5530612244897959
-3.241793611984809,0.007811903324960871,-2.4678430007677012,0.9912157653668243,0.007811903324960871,-3.241793611984809,0.9912157653668243,-2.4678430007677012,1.5551020408163265
-3.302748744429841,0.007613041120510538,-2.532180390434047,0.9911121454183403,0.007613041120510538,-3.302748744429841,0.9911121454183403,-2.532180390434047,1.5571428571428572
-3.361805495994403,0.007401659595782181,-2.596347215267408,0.9910081455330243,0.007401659595782181,-3.361805495994403,0.9910081455330243,-2.596347215267408,1.5591836734693876
-3.418660948676904,0.007180503153452314,-2.660349045273067,0.9909030632323905,0.007180503153452314,-3.418660948676904,0.9909030632323905,-2.660349045273067,1.5612244897959184
-3.4735754336476172,0.006951842269953864,-2.724193531113263,0.9907995150128844,0.006951842269953864,-3.4735754336476172,0.9907995150128844,-2.724193531113263,1.563265306122449
-3.5257897145680825,0.006716243017301831,-2.787869080011474,0.990695022821906,0.006716243017301831,-3.5257897145680825,0.990695022821906,-2.787869080011474,1.5653061224489797
