s11a,s11m,s12a,s12m,s21a,s21m,s22a,s22m,wavelengths,freqs
-3.039011285923728,0.025653635080239497,-1.7202912461600268,0.9906573563757582,-1.7201784666154434,0.9906488205628433,-3.0362732949033235,0.025725770479236045,1.5,0.6666666666666666
-3.0051556311933476,0.027618568300912905,-1.8204192999543356,0.990564655500163,-1.8203070258202296,0.990555812635654,-3.003230912915916,0.027706458199156403,1.5020408163265306,0.6657608695652174
-2.988745603424659,0.029664895325242868,-1.9202398919658772,0.9904673534832049,-1.9201280234905862,0.9904581413050106,-2.987582226085057,0.02976369663709391,1.5040816326530613,0.6648575305291723
-2.986442749818937,0.03171052519276627,-2.019754173765051,0.9903684011575492,-2.019642604565127,0.9903587804252133,-2.9859587692055443,0.03181588109513882,1.506122448979592,0.6639566395663956
-2.995350772785721,0.03369335311992717,-2.1189637186013974,0.990270698865173,-2.118852341010589,0.990260652436062,-2.995458218480922,0.03380142083651371,1.5081632653061225,0.6630581867388362
-3.013111544229793,0.03556650489021477,-2.217870504154475,0.9901770360401714,-2.217759213184973,0.9901665668987107,-3.013727022583172,0.035673917873626844,1.510204081632653,0.6621621621621622
-3.0378573804474516,0.03729450378458935,-2.316476886436634,0.9900900345867641,-2.3163655825262404,0.9900791638635029,-3.038905715761095,0.03739832128873033,1.5122448979591836,0.6612685560053981
-3.0681224748612443,0.038850445404772685,-2.414785565355571,0.990012097757283,-2.4146741566812033,0.9900008631534996,-3.0695371390223958,0.03894810834327873,1.5142857142857142,0.6603773584905661
-3.1027549903322513,0.04021398833544683,-2.5127995432752037,0.9899453661305897,-2.5126879482884568,0.9899338204202359,-3.104477226515369,0.04030328600786248,1.5163265306122449,0.6594885598923285
-3.140842913835001,0.041369939345170026,-2.610522078475078,0.989891681651182,-2.610410228704653,0.9898798905582994,-3.1428204469596834,0.04144898647518558,1.5183673469387755,0.6586021505376344
-3.1816554208022927,0.04230725376218129,-2.707956635461962,0.9898525597871838,-2.707844477967072,0.9898405988211074,-3.183841142679109,0.042374475690076685,1.5204081632653061,0.6577181208053691
-3.224597685222896,0.04301832148349306,-2.805106833530807,0.9898291693226208,-2.804994332239525,0.989817119787068,-3.2269484628137914,0.04307244502338554,1.5224489795918368,0.6568364611260054
-3.269176255188016,0.043498449362846255,-2.9019763944008257,0.9898223191720595,-2.901863529939185,0.9898102641298521,-3.271651897785247,0.043538496971707176,1.5244897959183674,0.6559571619812583
-3.3149723312613077,0.0437454795237316,-2.99856908931587,0.989832452047612,-2.998455857630279,0.9898204730547385,-3.3175347012673506,0.043770764876331414,1.526530612244898,0.6550802139037433
-3.3616207625281596,0.04375950286027901,-3.0948886862022067,0.9898596451209453,-3.094775096732549,0.9898478200998609,-3.364232993128861,0.04376962654188158,1.5285714285714287,0.6542056074766355
-3.408793031640971,0.04354264034534388,-3.190938897833156,0.9899036179891066,-3.190824971975377,0.9898920199667331,-3.4114188099085276,0.043537485037159165,1.530612244897959,0.6533333333333333
-3.456183386755129,0.04309885075727116,-3.2867233347626392,0.989963758612949,-3.286609104775372,0.9899524543166198,-3.4587862654865655,0.04307857594654457,1.5326530612244897,0.6524633821571239
-3.5034938277346432,0.04243389228361802,-3.3822454502012778,0.9900391020641044,-3.382130958713629,0.9900281515530511,-3.5060365221732086,0.04239892780683945,1.5346938775510204,0.6515957446808511
-3.550424774072076,0.04155508451390057,-3.477508513111134,0.9901284224930595,-3.4773938116181093,0.9901178763640573,-3.5528684317510555,0.04150612470021719,1.536734693877551,0.650730411686587
-3.5966600855643986,0.04047132865409592,-3.5725155632545853,0.9902302216110681,-3.572400710190493,0.9902201196398853,-3.5989634757426296,0.04040932550455288,1.5387755102040817,0.649867374005305
