wavelengths,s11a,s12a,s13a,s14a,s21a,s22a,s23a,s24a,s31a,s32a,s33a,s34a,s41a,s42a,s43a,s44a,s11m,s12m,s13m,s14m,s21m,s22m,s23m,s24m,s31m,s32m,s33m,s34m,s41m,s42m,s43m,s44m
1.4231729055258466,18.198717518441587,88.38270855624832,55.81605675700666,54.24288526031293,88.38253845653016,18.19909201832021,54.24251352205422,55.81614832520023,55.81606199147028,54.24251286088182,30.655139035205835,88.26552197957129,54.24288538707353,55.816147836855635,88.26589813959286,24.371720919520136,0.005284985910783606,0.000725244590632888,0.11965350711350191,0.9923311141573975,0.0007252374486820537,0.005193208322364691,0.9923237980761448,0.11965592277922467,0.11965909918093115,0.9923181749531896,0.00518553322920565,0.0007228723369096673,0.9923248675411132,0.11966119347135398,0.0007229530805218404,0.00527460307996623
1.4223277909738719,18.49233423746707,88.74100401259611,56.10819968673376,54.534982549987376,88.74090443865119,18.48928195644099,54.53461095147457,56.10829035656219,56.1082044999478,54.534610189583674,30.94980606097778,88.63152713350503,54.53498252741428,56.1082893723182,88.63183068492108,24.66279468636988,0.00613314347045217,0.000843194910532326,0.11910584543903376,0.9923985101147645,0.0008431809242330561,0.006025009307310488,0.9923908299860149,0.11910825775490577,0.11911147829082452,0.992386354315421,0.006015083981236977,0.0008557835026913238,0.9923933481766133,0.11911356192486025,0.0008558613713007609,0.006120170278635934
1.4214836795252226,18.77986755594654,89.12627268794715,56.400306422508486,54.827056350953164,89.12622251746349,18.774457917212555,54.82668478551841,56.40039608501313,56.40031102871507,54.82668429723526,31.245473519501306,89.02526242254096,54.82705652747252,56.4003948662226,89.02551262595107,24.956097755229813,0.00706710040474052,0.0009602728694114029,0.11856050833022742,0.992468194755587,0.0009602462178076721,0.006948796282694744,0.9924601965511947,0.11856292328089894,0.11856614318234122,0.9924565734441066,0.006938158623968866,0.0009862174361263743,0.9924638512711697,0.11856822924818268,0.0009862990868434787,0.007053461927905329
1.4206405693950177,19.06370716384843,89.53024463468493,56.692376353975455,55.11910777612486,89.5302293902624,19.05686504309603,55.11873616273184,56.692464913027685,56.692380706655655,55.11873606796817,31.54157520081363,89.43736968927196,55.11910826398887,56.69246348231597,89.43757978145909,25.2508320307071,0.008010385288803615,0.0010734179373864993,0.11801786346754606,0.992539392216903,0.001073375673791666,0.007887605993402646,0.9925311544747304,0.11802029114544643,0.1180234571508792,0.9925279895181639,0.007877386187136464,0.0011111810331320628,0.992535511028588,0.1180255594789141,0.0011112702530983924,0.007997713395073842
1.419798458802608,19.34542013586694,89.947840580925,56.98440993114106,55.41113761585108,89.94785013671127,19.337882087653078,55.41076590583486,56.98449731737614,56.98441375050744,55.41076608009364,31.837804464954022,89.86249454116536,55.411138303992274,56.9844954694273,89.86267357732122,25.546443407638936,0.008880608073191363,0.0011807503885224641,0.11747827119847087,0.9926109678904532,0.0011806910965687066,0.008757971542248978,0.992602588817747,0.11748072565462038,0.1174837942285624,0.9925995486255909,0.008748703694244409,0.0012289164010241963,0.9926072523276245,0.11748592636163624,0.0012290153795168383,0.008869894360029844
1.418957345971564,19.6258810791956,90.37584532171779,57.27640860126256,55.70314622973117,90.37587234917967,19.61821445268988,55.7027744077072,57.2764947868075,57.27641148290518,55.70277457754638,32.13402704836911,90.2974080549224,55.703146875468,57.27649217869446,90.29756232283069,25.84259753873052,0.009594672450889583,0.0012811906853708933,0.11694204605276778,0.9926815528499858,0.0012811137201888141,0.009475304388780543,0.9926731379435283,0.11694454439228517,0.11694749473547761,0.9926700699906215,0.009466937368802506,0.0013384763465851368,0.9926778744386496,0.11694966928108279,0.0013385862942362963,0.009586177920069747
1.4181172291296624,19.905467914193096,90.81213323797157,57.56837464482791,55.99513348426058,90.81217223929507,19.898110751229115,55.99476156498087,57.56845965539971,57.568376206771404,55.99476144851169,32.43021088690499,90.74004212912331,55.9951338444148,57.568455938817046,90.7401760936426,26.139120244876008,0.01007417177153458,0.0013742476612897524,0.11640942355685832,0.9927496965070931,0.0013741526863710158,0.009959466804910274,0.9927413489310373,0.11641198424561137,0.11641482215587727,0.9927383224657228,0.009951450026299895,0.0014395046803255974,0.9927461283981227,0.11641705038452348,0.0014396261479737442,0.010067461683518353
1.4172781065088758,20.184191488749374,91.25521787107643,57.86031092590667,56.28709874200537,91.25526458816707,20.17749432956964,56.28672676560571,57.8603948468145,57.86031093995826,56.28672620448829,32.72638736061865,91.1889738373641,56.28709869275938,57.86038979206887,91.18909076361402,26.43595222646788,0.010250564083025862,0.0014598813957614827,0.11588053585105361,0.9928140336042394,0.0014597680674774069,0.010140114909068208,0.9928058481222287,0.11588317642003085,0.11588592855280057,0.9928031078905204,0.010131493811022222,0.001532096062827757,0.9928108029856927,0.11588822003747562,0.0015322291514645694,0.010244588211210593
1.4164399763453577,20.46172606585782,91.70398377347891,58.152220583664054,56.579040905797115,91.70403483276242,20.455990698742585,56.57866893362266,58.152303557236316,58.152219045056675,56.578667969319724,33.0226404129715,91.64313643198754,56.579040507879945,58.15229712472465,91.64323879813392,26.73313078690122,0.010069775561320814,0.0015383964121734443,0.11535539880487292,0.9928734508656393,0.0015382641437662122,0.009961455558059398,0.9928655106389576,0.11535813333120337,0.11536083482861348,0.9928633664427972,0.009950939264084949,0.0016166835897733593,0.9928708339488118,0.115363196949318,0.0016168281493723687,0.010062942986074509
1.4156028368794324,20.737305312912397,92.15752279522941,58.444106700667774,56.870958518693584,92.15757550777305,20.73282243703295,56.87058663086483,58.44418891441785,58.444103814056426,56.87058550059798,33.319124516371915,92.10165134213884,56.87095800687726,58.444181250720554,92.10174110432406,27.03080708908772,0.009495961618595198,0.0016103447474898672,0.11483391194060573,0.9929272364691346,0.001610192529529784,0.009386139399790536,0.9929196110144578,0.11483674878846337,0.11483942939643117,0.9929183077139659,0.009372101455766038,0.0016939327959959976,0.9929254390470312,0.11484186664368351,0.0016940886498471432,0.009486159023383855
