s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths
-1.0170497557573455,0.007778255852471517,-0.6395436517131227,0.993956918131539,0.007778255852471517,-1.0170497557573455,0.993956918131539,-0.6395436517131227,1.5
-1.0912522110341134,0.00793989204279513,-0.7086611420187763,0.9938955293193533,0.00793989204279513,-1.0912522110341134,0.9938955293193533,-0.7086611420187763,1.5020408163265306
-1.165501388349561,0.008068867116034122,-0.7775872274198612,0.9938306767026905,0.008068867116034122,-1.165501388349561,0.9938306767026905,-0.7775872274198612,1.5040816326530613
-1.239512940030474,0.008164863037070095,-0.8463397769039755,0.9937655078505551,0.008164863037070095,-1.239512940030474,0.9937655078505551,-0.8463397769039755,1.506122448979592
-1.3133703694824643,0.00822511029094885,-0.9149073893207682,0.9936955429153148,0.00822511029094885,-1.3133703694824643,0.9936955429153148,-0.9149073893207682,1.5081632653061225
-1.3873095085947853,0.008250215722434907,-0.9832934428594893,0.9936275908833522,0.008250215722434907,-1.3873095085947853,0.9936275908833522,-0.9832934428594893,1.510204081632653
-1.4613695048948314,0.00824240780463717,-1.051498754188419,0.9935551246624374,0.00824240780463717,-1.4613695048948314,0.9935551246624374,-1.051498754188419,1.5122448979591836
-1.5354812265125117,0.008199952332883488,-1.1195272257130442,0.9934815292365945,0.008199952332883488,-1.5354812265125117,0.9934815292365945,-1.1195272257130442,1.5142857142857142
-1.6098067752977154,0.0081231879712559,-1.187374138531986,0.9934062725419512,0.0081231879712559,-1.6098067752977154,0.9934062725419512,-1.187374138531986,1.5163265306122449
-1.684425964946085,0.00801349506597478,-1.255039209607271,0.993329800875263,0.00801349506597478,-1.684425964946085,0.993329800875263,-1.255039209607271,1.5183673469387755
-1.759433472856956,0.007872538626845697,-1.32253266199996,0.993251935842413,0.007872538626845697,-1.759433472856956,0.993251935842413,-1.32253266199996,1.5204081632653061
-1.8349423972605992,0.007696895506526766,-1.3898450867762762,0.9931726075675193,0.007696895506526766,-1.8349423972605992,0.9931726075675193,-1.3898450867762762,1.5224489795918368
-1.9111755081998734,0.0074904343511562116,-1.456982896434136,0.9930894754889931,0.0074904343511562116,-1.9111755081998734,0.9930894754889931,-1.456982896434136,1.5244897959183674
-1.988044581102617,0.007254979536009947,-1.5239508241165443,0.9930069884376964,0.007254979536009947,-1.988044581102617,0.9930069884376964,-1.5239508241165443,1.5265306122448983
-2.065965702934691,0.00699147038016161,-1.5907347529039824,0.9929216043047141,0.00699147038016161,-2.065965702934691,0.9929216043047141,-1.5907347529039824,1.5285714285714287
-2.145064149096242,0.006700163423452148,-1.657351332813251,0.9928354274301769,0.006700163423452148,-2.145064149096242,0.9928354274301769,-1.657351332813251,1.530612244897959
-2.225929175838337,0.006380770802040521,-1.723793370245985,0.9927487916010821,0.006380770802040521,-2.225929175838337,0.9927487916010821,-1.723793370245985,1.5326530612244897
-2.3085870017665897,0.006038672323810073,-1.7900604438359895,0.9926585154557314,0.006038672323810073,-2.3085870017665897,0.9926585154557314,-1.7900604438359895,1.5346938775510204
-2.3936163423086327,0.005674671935810571,-1.8561522649908566,0.9925681926612391,0.005674671935810571,-2.3936163423086327,0.9925681926612391,-1.8561522649908566,1.536734693877551
-2.481880989408501,0.005289562051795886,-1.922079491883195,0.9924770989300927,0.005289562051795886,-2.481880989408501,0.9924770989300927,-1.922079491883195,1.5387755102040817
-2.5742893684297674,0.004886256736505921,-1.9878337625427789,0.9923829391991014,0.004886256736505921,-2.5742893684297674,0.9923829391991014,-1.9878337625427789,1.5408163265306123
-2.6723045096539977,0.004467332259377148,-2.053416561142796,0.9922899341040258,0.004467332259377148,-2.6723045096539977,0.9922899341040258,-2.053416561142796,1.542857142857143
-2.777910563502627,0.004035808653486762,-2.118827089041147,0.9921948076432874,0.004035808653486762,-2.777910563502627,0.9921948076432874,-2.118827089041147,1.5448979591836736
-2.894296449944516,0.0035971482004176747,-2.1840758667708258,0.9920972681349141,0.0035971482004176747,-2.894296449944516,0.9920972681349141,-2.1840758667708258,1.546938775510204
-3.025849157492061,0.0031566846068574483,-2.249152905380059,0.9919989270034425,0.0031566846068574483,-3.025849157492061,0.9919989270034425,-2.249152905380059,1.5489795918367348
-3.1801453421378842,0.0027216413937294005,-2.314061303810504,0.9919001995949343,0.0027216413937294005,-3.1801453421378842,0.9919001995949343,-2.314061303810504,1.5510204081632653
-3.368982721007958,0.0023075338438345474,-2.3788035726003702,0.9917993922782119,0.0023075338438345474,-3.368982721007958,0.9917993922782119,-2.3788035726003702,1.5530612244897959
-3.6108240220093633,0.001936712939486004,-2.443377909249728,0.9916996428023493,0.001936712939486004,-3.6108240220093633,0.9916996428023493,-2.443377909249728,1.5551020408163265
-3.9278195903590793,0.0016464965908285635,-2.5077830298961072,0.9915948672990498,0.0016464965908285635,-3.9278195903590793,0.9915948672990498,-2.5077830298961072,1.5571428571428572
-4.323695153011537,0.0014954397854881213,-2.572025925973704,0.9914935675308808,0.0014954397854881213,-4.323695153011537,0.9914935675308808,-2.572025925973704,1.5591836734693876
-4.748228737181865,0.0015308227953968673,-2.6361041376466146,0.9913881363215229,0.0015308227953968673,-4.748228737181865,0.9913881363215229,-2.6361041376466146,1.5612244897959184
-5.120775744693744,0.0017432081357789933,-2.7000206178608517,0.991282274443209,0.0017432081357789933,-5.120775744693744,0.991282274443209,-2.7000206178608517,1.563265306122449
-5.4108797777915,0.002079144497347282,-2.7637646048226023,0.9911768524967399,0.002079144497347282,-5.4108797777915,0.9911768524967399,-2.7637646048226023,1.5653061224489797
