wavelengths,s11a,s12a,s13a,s14a,s21a,s22a,s23a,s24a,s31a,s32a,s33a,s34a,s41a,s42a,s43a,s44a,s11m,s12m,s13m,s14m,s21m,s22m,s23m,s24m,s31m,s32m,s33m,s34m,s41m,s42m,s43m,s44m
1.5872763419483102,0.8790203218571042,1.7792578004320785,0.8711666915773053,5.5835151443167,1.779244840187179,0.8868924496891863,5.583435154468073,0.8712462211658228,0.8711386099630334,5.583444669471459,7.144112123532559,1.7618320328424286,5.583525156559475,0.8712194094096065,1.76185441867435,7.151989399459403,0.010115305331396915,0.0012860956506406155,0.10140812416586618,0.9946834554028052,0.0012860454139315114,0.010126746741700462,0.9946834959248915,0.1014082076690716,0.1014076477557239,0.9946880808074132,0.010140353924907006,0.001298111016306506,0.9946874277895505,0.10140769328830662,0.0012980906409822614,0.010129633354020695
1.5862251655629138,1.118724850585738,2.1329569283606893,1.1108928240038012,5.82323472083121,2.1329494151132415,1.1259139272994059,5.823154793852604,1.1109721861529112,1.1108654328774807,5.823163884436944,7.381497037215689,2.1084045353295653,5.823244264642576,1.1109463073667865,2.1084319051056712,7.3887000475826365,0.01115587739604033,0.0013097465694882696,0.10084884774472629,0.9947339900414717,0.00130968827202606,0.011149432177565475,0.9947341160931001,0.10084896904289989,0.10084827214304065,0.9947374786223036,0.011162714404799507,0.001313087536951121,0.9947367179681275,0.10084835772954692,0.001313070153352869,0.011169426569285788
1.5851753805426867,1.359536334039262,2.484416355088497,1.3505998436547135,6.062934075083881,2.4844149220173732,1.365932598784827,6.062854224382041,1.3506791171895431,1.3505730301038719,6.0628626073159,7.618514395183064,2.4531974378867325,6.062942863233619,1.3506540253532155,2.45322915230571,7.624943171075883,0.012006873896830693,0.0013245173527779556,0.10029312068517035,0.9947844183598932,0.0013244504278544797,0.011982944014097077,0.9947845997968123,0.10029328606754785,0.10029246538146852,0.9947868092764544,0.011995430684504867,0.0013193561134850363,0.9947859872168974,0.10029259020778414,0.0013193423777552163,0.012019202728328043
1.5841269841269838,1.6012177568179806,2.8336720341680977,1.5902878707074952,6.302613221407011,2.833677280723626,1.6067251365411805,6.30253344693259,1.590367156174274,1.590261525889901,6.302540867571425,7.855237303685885,2.7961205970988803,6.302621001402902,1.5903426739383701,2.796155974564351,7.860801285351982,0.01264433763355045,0.0013300363409813093,0.09974092332666933,0.9948348559494363,0.00132996045336051,0.01260415931943369,0.9948350665356709,0.09974113614871823,0.09974020990708998,0.9948362707560323,0.01261547020137622,0.0013167212856124736,0.9948354286147661,0.09974037246308673,0.0013167116144498802,0.012655114444375113
1.5830799735624588,1.8436296288001555,3.1807245213293815,1.8299570596325823,6.542272202859769,3.180736992671843,1.8481572180644361,6.542192495899826,1.8300364683281767,1.8299310947318115,6.5421987575856315,8.091696010941373,3.137050222468268,6.5422787850981265,1.8300124170570444,3.1370885725769813,8.096307341371055,0.013052725604428595,0.0013260310132158486,0.09919223479238296,0.994885425406295,0.001325946032667436,0.01299830314111719,0.9948856483373337,0.0991924947717813,0.09919148492321408,0.9948860590942422,0.013008144399357999,0.0013050775864349913,0.9948852253345113,0.09919168359965565,0.0013050721422700367,0.013061717368267483
1.5820343461030382,2.0866919466228073,3.5255356963486464,2.069607605018294,6.781911102805377,3.5255558632756174,2.0901486875649535,6.781831452766651,2.0696872455521036,2.069581957219097,6.781836437336301,8.327892707340158,3.475820695662979,6.781916378931608,2.069663470297013,3.4758613553475217,8.331461917768015,0.013225478136168553,0.0013123393528810393,0.09864703081107475,0.99493624252921,0.0013122453248116664,0.013159481463453903,0.9949364727243615,0.0986473338213724,0.09864626376409043,0.9949363402081856,0.01316764632844374,0.0012844178092259947,0.9949355265970048,0.09864649710467858,0.0012844164990999543,0.013232544760961851
1.5809900990099008,2.3303627030132636,3.8680216829526923,2.3092397347664058,7.02153004775769,3.868049923596674,2.332653777999624,7.021450449101225,2.3093196994031024,2.309214361748586,7.0214541242934265,8.563809292968163,3.8122124354174285,7.021533995551995,2.309296082903281,3.812254804807983,8.566242306218703,0.013165217517358253,0.001288920351147707,0.09810528111070321,0.9949873961049485,0.0012888174686968236,0.013090848580985495,0.9949876387201877,0.09810561952025612,0.09810451142129108,0.9949872200654514,0.013097220789769267,0.0012548411594565222,0.9949864227924703,0.09810477796952695,0.0012548436464500643,0.013170310026508758
1.5799472295514514,2.5746244307108066,4.208040988390998,2.548853688578089,7.261129198978506,4.208077572561917,2.575648727358123,7.261049656421372,2.548934041672345,2.5488285530818167,7.261052069009746,8.799411633297229,4.1459342325692,7.261131873185369,2.548910504386345,4.14597780776771,8.800607642198523,0.012883568108020736,0.0012558632498615616,0.0975669470805634,0.9950389266056313,0.0012557518291888105,0.01280440271410027,0.9950391921620398,0.09756731057939237,0.0975661829148042,0.995038720828283,0.01280896165298366,0.0012165612527426262,0.9950379261923253,0.09756648071239707,0.0012165669792000393,0.012886730016638766
1.5789057350032958,2.8194741497790465,4.5453761650369255,2.788449683332471,7.500708733346401,4.545421240723146,2.8191226502044087,7.5006292638574825,2.788530453746352,2.7884247321008515,7.500630520686322,9.034652275187362,4.476597638906418,7.500710245140331,2.7885069405854033,4.476642039473838,9.034502446014844,0.01240060635369774,0.0012133952920041172,0.09703198040957792,0.9950908097584134,0.0012132757499300727,0.012320419719705069,0.9950911071367503,0.09703235717485394,0.0970312230541492,0.9950907695423984,0.012323246529930058,0.0011699141013318097,0.9950899626875268,0.09703154895004455,0.0011699223233567304,0.012401977794332624
1.5778656126482213,3.064913495967275,4.879706158993518,3.028027870448532,7.740268816991497,4.879759738020273,3.0630688628857206,7.740189447880438,3.028109049033795,3.0280030135898506,7.740189689804566,9.269473140393734,4.803679647656214,7.740269307399765,3.0280855069759025,4.803724637557142,9.267860456531077,0.011743964557284556,0.0011618880256435678,0.0965003232392874,0.9951429499974135,0.0011617608571735188,0.011666549742476601,0.9951432791123399,0.09650070123109464,0.09649956785615593,0.9951432031066801,0.01166783377243386,0.0011153665615622488,0.9951423775217766,0.09649991684767074,0.0011153763938872565,0.011743788689591967
