s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths
-41.7538527050631,0.11812411681870089,-21.265832593055983,0.9810885720443302,0.11812411681870089,-41.7538527050631,0.9810885720443302,-21.265832593055983,1.5387755102040817
-43.855210337804955,0.13594198557465748,-22.306540219320958,0.9792298023127779,0.13594198557465748,-43.855210337804955,0.9792298023127779,-22.306540219320958,1.5408163265306123
-45.794852312376776,0.14329926078838842,-23.34057057234375,0.9790646043081811,0.14329926078838842,-45.794852312376776,0.9790646043081811,-23.34057057234375,1.542857142857143
-47.85010295126647,0.12779807265913715,-24.373227138288073,0.9819442594538774,0.12779807265913715,-47.85010295126647,0.9819442594538774,-24.373227138288073,1.5448979591836736
-49.91480784412436,0.12539002652070327,-25.40485068582612,0.9830008838577299,0.12539002652070327,-49.91480784412436,0.9830008838577299,-25.40485068582612,1.546938775510204
-51.97336111687492,0.12765347394231685,-26.43229697745146,0.9831761987814319,0.12765347394231685,-51.97336111687492,0.9831761987814319,-26.43229697745146,1.5489795918367348
-54.04919470073785,0.12761908841957761,-27.456558809546866,0.9832366735974633,0.12761908841957761,-54.04919470073785,0.9832366735974633,-27.456558809546866,1.5510204081632653
-55.96702976697409,0.12471771451070436,-28.47661590339412,0.9824541387715794,0.12471771451070436,-55.96702976697409,0.9824541387715794,-28.47661590339412,1.5530612244897959
-58.01170462093099,0.1034573796403521,-29.49299462643276,0.9845333579643583,0.1034573796403521,-58.01170462093099,0.9845333579643583,-29.49299462643276,1.5551020408163265
-60.40727392171066,0.1041941613786856,-30.51095687777126,0.9847736835931596,0.1041941613786856,-60.40727392171066,0.9847736835931596,-30.51095687777126,1.5571428571428572
-62.376192200879686,0.13674033929129328,-31.522464328892113,0.980201227550345,0.13674033929129328,-62.376192200879686,0.980201227550345,-31.522464328892113,1.5591836734693876
-64.17876135557124,0.1429826440193446,-32.5262123102861,0.9784779832681078,0.1429826440193446,-64.17876135557124,0.9784779832681078,-32.5262123102861,1.5612244897959184
