["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.4421513620579262e-02 -3.1014522074346318e+00
1.5019662224448897e+14 3.4880869066953840e-02 -3.1057559876799243e+00
1.5049701548897797e+14 3.5445730220874307e-02 -3.0957100963564783e+00
1.5079740873346694e+14 3.5875385611164413e-02 -3.0719034000612888e+00
1.5109780197795591e+14 3.5968670693716599e-02 -3.0375960573180265e+00
1.5139819522244488e+14 3.5597966523994662e-02 -2.9976339632968481e+00
1.5169858846693388e+14 3.4725660481871701e-02 -2.9576955404905227e+00
1.5199898171142284e+14 3.3408875129078398e-02 -2.9238245219940131e+00
1.5229937495591181e+14 3.1795270894411719e-02 -2.9019300805977535e+00
1.5259976820040081e+14 3.0107719434358571e-02 -2.8968200291265891e+00
1.5290016144488978e+14 2.8610318163846404e-02 -2.9104355421607750e+00
1.5320055468937875e+14 2.7547605794184794e-02 -2.9396922697562982e+00
1.5350094793386775e+14 2.7064315696774689e-02 -2.9757712974217321e+00
1.5380134117835672e+14 2.7144511118471826e-02 -3.0069136595265880e+00
1.5410173442284569e+14 2.7616837467690544e-02 -3.0235750381953541e+00
1.5440212766733466e+14 2.8224901316242050e-02 -3.0218511291129015e+00
1.5470252091182366e+14 2.8713147553741814e-02 -3.0033005122962080e+00
1.5500291415631262e+14 2.8887291386880808e-02 -2.9729026827289720e+00
1.5530330740080159e+14 2.8643102956756889e-02 -2.9371976133581503e+00
1.5560370064529059e+14 2.7974304574069495e-02 -2.9031954761544676e+00
1.5590409388977956e+14 2.6968817636344199e-02 -2.8777060830575132e+00
1.5620448713426853e+14 2.5795520398613603e-02 -2.8664897582739290e+00
1.5650488037875750e+14 2.4676890138795080e-02 -2.8727304602630923e+00
1.5680527362324650e+14 2.3839785385051413e-02 -2.8949426298684435e+00
1.5710566686773547e+14 2.3445543748887420e-02 -2.9257834794302267e+00
1.5740606011222444e+14 2.3526249899547960e-02 -2.9539928714535750e+00
1.5770645335671344e+14 2.3970470317521302e-02 -2.9692680662348172e+00
1.5800684660120241e+14 2.4571362789561582e-02 -2.9663580127985401e+00
1.5830723984569138e+14 2.5101399984453262e-02 -2.9456704520812846e+00
1.5860763309018038e+14 2.5372351438518750e-02 -2.9114946144375389e+00
1.5890802633466934e+14 2.5267654825202802e-02 -2.8700506470093305e+00
1.5920841957915831e+14 2.4754199698448637e-02 -2.8282959122413303e+00
1.5950881282364728e+14 2.3882658466709838e-02 -2.7933103186948429e+00
1.5980920606813628e+14 2.2780400298456894e-02 -2.7717052713808465e+00
1.6010959931262525e+14 2.1635049257502842e-02 -2.7684505796518302e+00
1.6040999255711422e+14 2.0661689425070469e-02 -2.7847792892104555e+00
1.6071038580160322e+14 2.0047697226647596e-02 -2.8159305204494598e+00
1.6101077904609219e+14 1.9886275337051403e-02 -2.8511729282727418e+00
1.6131117229058116e+14 2.0136587951969456e-02 -2.8779350571529938e+00
1.6161156553507012e+14 2.0643850922306504e-02 -2.8874692310128136e+00
1.6191195877955912e+14 2.1204360913508087e-02 -2.8774387454972303e+00
1.6221235202404809e+14 2.1630475595439132e-02 -2.8507160661050155e+00
1.6251274526853706e+14 2.1789819785654776e-02 -2.8129565296781696e+00
1.6281313851302606e+14 2.1620361403199225e-02 -2.7708053725686130e+00
1.6311353175751503e+14 2.1131287917730016e-02 -2.7309543023644012e+00
1.6341392500200400e+14 2.0396086670303307e-02 -2.6995638678855602e+00
1.6371431824649300e+14 1.9539023895722138e-02 -2.6815172159776135e+00
1.6401471149098197e+14 1.8712546771813832e-02 -2.6791813723704911e+00
1.6431510473547094e+14 1.8062788643598799e-02 -2.6909163004301195e+00
1.6461549797995991e+14 1.7687005332497722e-02 -2.7105011868846032e+00
1.6491589122444891e+14 1.7599928775462296e-02 -2.7288875267495594e+00
1.6521628446893788e+14 1.7730840169946794e-02 -2.7378883059239603e+00
1.6551667771342684e+14 1.7955011555300025e-02 -2.7332402818907542e+00
1.6581707095791584e+14 1.8139140893002656e-02 -2.7152066287324210e+00
1.6611746420240481e+14 1.8178147427382833e-02 -2.6873436703797693e+00
1.6641785744689378e+14 1.8015182587931718e-02 -2.6549151616193143e+00
1.6671825069138275e+14 1.7647602251747781e-02 -2.6236809697045369e+00
1.6701864393587175e+14 1.7123368003562553e-02 -2.5989906239378593e+00
1.6731903718036072e+14 1.6529773400946069e-02 -2.5848395207479391e+00
1.6761943042484969e+14 1.5973922637715854e-02 -2.5826997105634653e+00
1.6791982366933869e+14 1.5554806077018916e-02 -2.5904547751359872e+00
1.6822021691382766e+14 1.5332194287261208e-02 -2.6023896434040363e+00
1.6852061015831662e+14 1.5305314743939551e-02 -2.6110110634362291e+00
1.6882100340280562e+14 1.5414141878621687e-02 -2.6099878350951990e+00
1.6912139664729459e+14 1.5562806139316064e-02 -2.5963087368088669e+00
1.6942178989178356e+14 1.5651090733959976e-02 -2.5706041911587452e+00
1.6972218313627256e+14 1.5600079778362455e-02 -2.5362045795887118e+00
1.7002257638076153e+14 1.5366900282954284e-02 -2.4979677449014996e+00
1.7032296962525050e+14 1.4950027771360506e-02 -2.4613747126079719e+00
1.7062336286973947e+14 1.4387896308122575e-02 -2.4318355859591403e+00
1.7092375611422847e+14 1.3752071392828330e-02 -2.4139053484942208e+00
1.7122414935871744e+14 1.3134354845425420e-02 -2.4101473582778272e+00
1.7152454260320641e+14 1.2626630527346049e-02 -2.4197616694048185e+00
1.7182493584769538e+14 1.2295269775891026e-02 -2.4378309081865934e+00
1.7212532909218438e+14 1.2158916555647454e-02 -2.4564151802321357e+00
1.7242572233667334e+14 1.2182586746626381e-02 -2.4675543409181486e+00
1.7272611558116231e+14 1.2292940557225936e-02 -2.4662709561098923e+00
1.7302650882565131e+14 1.2405079705976763e-02 -2.4516592547823990e+00
