["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.1472667817049563e-02 -3.0382941829733183e+00
1.5019662224448897e+14 3.1881750181143718e-02 -3.1590993412297026e+00
1.5049701548897797e+14 3.5242129699957492e-02 -3.1983402713354190e+00
1.5079740873346694e+14 3.8265828887653210e-02 -3.1371042426849716e+00
1.5109780197795591e+14 3.8564652291831883e-02 -3.0303344022373397e+00
1.5139819522244488e+14 3.5800394337220057e-02 -2.9427864529375971e+00
1.5169858846693388e+14 3.1753063953342653e-02 -2.9376772219671614e+00
1.5199898171142284e+14 2.9696100067458278e-02 -3.0319598589551977e+00
1.5229937495591181e+14 3.1445875800113564e-02 -3.1189481122439378e+00
1.5259976820040081e+14 3.4810484957941458e-02 -3.0968829028622218e+00
1.5290016144488978e+14 3.6427211366988808e-02 -2.9871634469220836e+00
1.5320055468937875e+14 3.4553143956559257e-02 -2.8557910932829764e+00
1.5350094793386775e+14 2.9623518870308660e-02 -2.7805410731962308e+00
1.5380134117835672e+14 2.4480227764115882e-02 -2.8570656364441911e+00
1.5410173442284569e+14 2.3612404702681538e-02 -3.0755628612186530e+00
1.5440212766733466e+14 2.7693292683321279e-02 -3.1928735078390407e+00
1.5470252091182366e+14 3.2389204292667312e-02 -3.1362883142758426e+00
1.5500291415631262e+14 3.4347307176087291e-02 -2.9963529762489816e+00
1.5530330740080159e+14 3.2656709796953329e-02 -2.8548071798757531e+00
1.5560370064529059e+14 2.8475388407462558e-02 -2.7838930276760960e+00
1.5590409388977956e+14 2.4724983389082054e-02 -2.8432233561617011e+00
1.5620448713426853e+14 2.4403644214051560e-02 -2.9771521781541153e+00
1.5650488037875750e+14 2.6926731360004546e-02 -3.0245739291858369e+00
1.5680527362324650e+14 2.9083360355568338e-02 -2.9589593394381710e+00
1.5710566686773547e+14 2.8822356500385164e-02 -2.8509517605778942e+00
1.5740606011222444e+14 2.6191248950320930e-02 -2.7783396194788872e+00
1.5770645335671344e+14 2.3113985046284848e-02 -2.8087293573013441e+00
1.5800684660120241e+14 2.2312122387261924e-02 -2.9283278686546383e+00
1.5830723984569138e+14 2.4299381414035204e-02 -2.9984700360028858e+00
1.5860763309018038e+14 2.6679402775533375e-02 -2.9559607880267138e+00
1.5890802633466934e+14 2.7256092710584913e-02 -2.8531922488201689e+00
