["N0",""]
["N1",""]
["W0",""]
["E0",""]
("W0","mode 1",1,"W0",1,"transmission")
(500, 3)
1.4989622900000000e+14 3.4244729681386671e-02 -3.0921406999012273e+00
1.5019662224448897e+14 3.4741072761680827e-02 -3.1019298194849414e+00
1.5049701548897797e+14 3.5443788245305086e-02 -3.0937077293885422e+00
1.5079740873346694e+14 3.6001620889179915e-02 -3.0675383114454378e+00
1.5109780197795591e+14 3.6118684011447570e-02 -3.0280007428704887e+00
1.5139819522244488e+14 3.5617632908614714e-02 -2.9821974989569449e+00
1.5169858846693388e+14 3.4467508712602395e-02 -2.9384621398694017e+00
1.5199898171142284e+14 3.2789832722685076e-02 -2.9056143442998228e+00
1.5229937495591181e+14 3.0847936046376128e-02 -2.8919510217717432e+00
1.5259976820040081e+14 2.9010501786085982e-02 -2.9029220752701690e+00
1.5290016144488978e+14 2.7667468778261303e-02 -2.9371384313802698e+00
1.5320055468937875e+14 2.7089919089068191e-02 -2.9833686807727098e+00
1.5350094793386775e+14 2.7295624459424614e-02 -3.0239377023784870e+00
1.5380134117835672e+14 2.8035634376716290e-02 -3.0442378465716509e+00
1.5410173442284569e+14 2.8921286780956141e-02 -3.0392628920959863e+00
1.5440212766733466e+14 2.9580219933257747e-02 -3.0126151103799033e+00
1.5470252091182366e+14 2.9753326657818012e-02 -2.9724172094282815e+00
1.5500291415631262e+14 2.9331116459306760e-02 -2.9283436664718598e+00
1.5530330740080159e+14 2.8357525479207217e-02 -2.8902577663370908e+00
1.5560370064529059e+14 2.7017473492878603e-02 -2.8673191301870156e+00
1.5590409388977956e+14 2.5606623090950090e-02 -2.8662606499937202e+00
1.5620448713426853e+14 2.4467653397643830e-02 -2.8881038790457456e+00
1.5650488037875750e+14 2.3879946760646802e-02 -2.9248607641036468e+00
1.5680527362324650e+14 2.3935020356742252e-02 -2.9608875441606783e+00
1.5710566686773547e+14 2.4488367325204437e-02 -2.9807866366191424e+00
1.5740606011222444e+14 2.5236372380805987e-02 -2.9770662332568985e+00
1.5770645335671344e+14 2.5849557167621051e-02 -2.9511348948789733e+00
1.5800684660120241e+14 2.6073097786809250e-02 -2.9099167622506048e+00
1.5830723984569138e+14 2.5773486061243266e-02 -2.8626695133642941e+00
1.5860763309018038e+14 2.4951035090954001e-02 -2.8193901939476294e+00
1.5890802633466934e+14 2.3736107095079204e-02 -2.7900281172905665e+00
1.5920841957915831e+14 2.2372618866447026e-02 -2.7831667132404978e+00
1.5950881282364728e+14 2.1177264872358045e-02 -2.8028987062663990e+00
1.5980920606813628e+14 2.0454061792808294e-02 -2.8442210541894846e+00
1.6010959931262525e+14 2.0369604959717225e-02 -2.8915377326706366e+00
1.6040999255711422e+14 2.0865179071386811e-02 -2.9256390853601721e+00
1.6071038580160322e+14 2.1691506157649382e-02 -2.9343145838808624e+00
1.6101077904609219e+14 2.2532967333659379e-02 -2.9160858808126879e+00
1.6131117229058116e+14 2.3117974726085719e-02 -2.8767587022767933e+00
1.6161156553507012e+14 2.3272440084759632e-02 -2.8250605782788840e+00
1.6191195877955912e+14 2.2932726019790572e-02 -2.7702886734762742e+00
1.6221235202404809e+14 2.2140611432892057e-02 -2.7215082659091618e+00
1.6251274526853706e+14 2.1030390586652303e-02 -2.6871405938126762e+00
1.6281313851302606e+14 1.9807799258488554e-02 -2.6739359132951690e+00
1.6311353175751503e+14 1.8713251022072636e-02 -2.6846571230782126e+00
1.6341392500200400e+14 1.7960933063173562e-02 -2.7150612472176148e+00
1.6371431824649300e+14 1.7663374652185860e-02 -2.7532530631737342e+00
1.6401471149098197e+14 1.7785534189451335e-02 -2.7844791776239566e+00
1.6431510473547094e+14 1.8170771999897240e-02 -2.7984512636097518e+00
1.6461549797995991e+14 1.8619187398488220e-02 -2.7926798150636771e+00
1.6491589122444891e+14 1.8960270559685344e-02 -2.7706977901722847e+00
1.6521628446893788e+14 1.9089872659736308e-02 -2.7387804808530194e+00
1.6551667771342684e+14 1.8976740755662618e-02 -2.7035828394278476e+00
1.6581707095791584e+14 1.8651954137515532e-02 -2.6708482696114184e+00
1.6611746420240481e+14 1.8189346311425953e-02 -2.6446349251821002e+00
1.6641785744689378e+14 1.7680538150747688e-02 -2.6267372783746712e+00
1.6671825069138275e+14 1.7207948802202565e-02 -2.6164136048325823e+00
1.6701864393587175e+14 1.6821886151362143e-02 -2.6107901296940748e+00
1.6731903718036072e+14 1.6529770707456745e-02 -2.6060978781550861e+00
1.6761943042484969e+14 1.6302188460809615e-02 -2.5992726855298813e+00
1.6791982366933869e+14 1.6092204677168313e-02 -2.5890806368906376e+00
1.6822021691382766e+14 1.5858031060574134e-02 -2.5762868440755526e+00
1.6852061015831662e+14 1.5579648117909893e-02 -2.5630142774867930e+00
1.6882100340280562e+14 1.5264809726741548e-02 -2.5517149688408112e+00
1.6912139664729459e+14 1.4944241175461420e-02 -2.5441065585765132e+00
1.6942178989178356e+14 1.4658442811499400e-02 -2.5403514809979257e+00
1.6972218313627256e+14 1.4440579449165106e-02 -2.5387872710288781e+00
1.7002257638076153e+14 1.4301896668274500e-02 -2.5364460454745239e+00
1.7032296962525050e+14 1.4226053331631345e-02 -2.5302251246389136e+00
1.7062336286973947e+14 1.4174835961956735e-02 -2.5181183972023713e+00
1.7092375611422847e+14 1.4101888294756183e-02 -2.4998912235513053e+00
1.7122414935871744e+14 1.3967888469628320e-02 -2.4770215627540537e+00
1.7152454260320641e+14 1.3751702624195752e-02 -2.4521435848410529e+00
1.7182493584769538e+14 1.3455069012757077e-02 -2.4283036648664651e+00
1.7212532909218438e+14 1.3100719556069677e-02 -2.4082074299427765e+00
1.7242572233667334e+14 1.2725015321106280e-02 -2.3935432486101669e+00
1.7272611558116231e+14 1.2366967079633853e-02 -2.3845036912354023e+00
1.7302650882565131e+14 1.2056594682394228e-02 -2.3797127253404118e+00
1.7332690207014028e+14 1.1806549595008395e-02 -2.3767203627102345e+00
1.7362729531462925e+14 1.1610394419080652e-02 -2.3729449954225577e+00
1.7392768855911825e+14 1.1448132035334709e-02 -2.3666199196268920e+00
1.7422808180360722e+14 1.1296027902573853e-02 -2.3572783708117151e+00
1.7452847504809619e+14 1.1136090620157447e-02 -2.3456236272091955e+00
1.7482886829258519e+14 1.0961559087921707e-02 -2.3329590411795533e+00
1.7512926153707416e+14 1.0776998176175029e-02 -2.3204747998684336e+00
1.7542965478156312e+14 1.0593674097754569e-02 -2.3086621889896537e+00
1.7573004802605209e+14 1.0422366988346985e-02 -2.2970672662468434e+00
1.7603044127054109e+14 1.0266666032819378e-02 -2.2845000697609672e+00
1.7633083451503006e+14 1.0119701354496710e-02 -2.2696331733476693e+00
1.7663122775951903e+14 9.9658166015972292e-03 -2.2517196347230972e+00
1.7693162100400800e+14 9.7864152181448890e-03 -2.2311002230625760e+00
1.7723201424849700e+14 9.5674770828594550e-03 -2.2093064439799086e+00
1.7753240749298597e+14 9.3059070931118919e-03 -2.1887561400049997e+00
1.7783280073747494e+14 9.0126015392012065e-03 -2.1721315205170115e+00
1.7813319398196394e+14 8.7110849375562609e-03 -2.1615392776161326e+00
1.7843358722645291e+14 8.4314961415899847e-03 -2.1576112089479520e+00
1.7873398047094188e+14 8.2010043765299457e-03 -2.1588880729063122e+00
1.7903437371543088e+14 8.0337088864458339e-03 -2.1619751065602824e+00
1.7933476695991984e+14 7.9246294435792453e-03 -2.1626932816953017e+00
1.7963516020440881e+14 7.8512915845905407e-03 -2.1577426204416064e+00
1.7993555344889781e+14 7.7823550478152035e-03 -2.1459438368892818e+00
1.8023594669338678e+14 7.6890246575566420e-03 -2.1284936529062874e+00
1.8053633993787575e+14 7.5545722170390602e-03 -2.1083665173829682e+00
1.8083673318236472e+14 7.3792726818185479e-03 -2.0892771581215759e+00
1.8113712642685372e+14 7.1799224796112266e-03 -2.0744774469088632e+00
1.8143751967134269e+14 6.9840153620973310e-03 -2.0655386444439539e+00
1.8173791291583166e+14 6.8195127894973163e-03 -2.0614369511150472e+00
1.8203830616032062e+14 6.7030214313937610e-03 -2.0585461453685907e+00
1.8233869940480962e+14 6.6313942986652441e-03 -2.0519612546969088e+00
1.8263909264929859e+14 6.5814388553985543e-03 -2.0376630520698424e+00
1.8293948589378756e+14 6.5181443041332004e-03 -2.0142895308742217e+00
1.8323987913827656e+14 6.4071724825141155e-03 -1.9837096767269380e+00
1.8354027238276553e+14 6.2265213681092424e-03 -1.9505943610578824e+00
1.8384066562725450e+14 5.9745692472108602e-03 -1.9215458847906122e+00
1.8414105887174350e+14 5.6737488478889450e-03 -1.9039396800307538e+00
1.8444145211623247e+14 5.3691057279433461e-03 -1.9040228509772472e+00
1.8474184536072144e+14 5.1193968896006102e-03 -1.9237169161092684e+00
1.8504223860521044e+14 4.9781117249549549e-03 -1.9570803259547160e+00
1.8534263184969941e+14 4.9685381204821162e-03 -1.9902918297118299e+00
1.8564302509418838e+14 5.0689657054656875e-03 -2.0079734284761526e+00
1.8594341833867738e+14 5.2215375614481146e-03 -2.0010475447189808e+00
1.8624381158316634e+14 5.3566343866763479e-03 -1.9691408921822628e+00
1.8654420482765531e+14 5.4147812326249579e-03 -1.9180021215699854e+00
1.8684459807214428e+14 5.3586291921403403e-03 -1.8563374356142828e+00
1.8714499131663325e+14 5.1774675463888966e-03 -1.7941393441769029e+00
1.8744538456112225e+14 4.8881317081415163e-03 -1.7421980180391203e+00
1.8774577780561122e+14 4.5340671426901879e-03 -1.7116561795394547e+00
1.8804617105010019e+14 4.1814653067848212e-03 -1.7119469444927984e+00
1.8834656429458919e+14 3.9075124942567754e-03 -1.7453159171189463e+00
1.8864695753907816e+14 3.7743410387640910e-03 -1.7997668365907757e+00
1.8894735078356712e+14 3.7959391232914078e-03 -1.8504622198927143e+00
1.8924774402805612e+14 3.9280763738197303e-03 -1.8747188827590473e+00
1.8954813727254509e+14 4.0949008828436908e-03 -1.8645400584135445e+00
1.8984853051703406e+14 4.2241890246974599e-03 -1.8249495085260761e+00
1.9014892376152306e+14 4.2668250831289544e-03 -1.7667777558217657e+00
1.9044931700601203e+14 4.2019524587827359e-03 -1.7021867956063035e+00
1.9074971025050100e+14 4.0361599530928252e-03 -1.6432609286201436e+00
1.9105010349499000e+14 3.8008076332151489e-03 -1.6015289834169197e+00
1.9135049673947897e+14 3.5473465465361235e-03 -1.5863703257181814e+00
1.9165088998396794e+14 3.3372181393948653e-03 -1.6007040102345174e+00
1.9195128322845691e+14 3.2220067627094307e-03 -1.6353079882623121e+00
1.9225167647294588e+14 3.2183635258263557e-03 -1.6693539649825142e+00
1.9255206971743488e+14 3.2978327095926022e-03 -1.6821056390810130e+00
1.9285246296192384e+14 3.4037164141733247e-03 -1.6645693465030864e+00
1.9315285620641281e+14 3.4781479767522368e-03 -1.6199899389529107e+00
1.9345324945090181e+14 3.4798214525252735e-03 -1.5582392409926402e+00
1.9375364269539078e+14 3.3905168635514986e-03 -1.4916598511907648e+00
1.9405403593987975e+14 3.2161821763682899e-03 -1.4336572931496780e+00
1.9435442918436875e+14 2.9863289260632056e-03 -1.3982606997114446e+00
1.9465482242885772e+14 2.7517914722587997e-03 -1.3979598025853679e+00
