wavelength_nm,S11a,S12a,S13a,S14a,S21a,S22a,S23a,S24a,S31a,S32a,S33a,S34a,S41a,S42a,S43a,S44a,S11m,S12m,S13m,S14m,S21m,S22m,S23m,S24m,S31m,S32m,S33m,S34m,S41m,S42m,S43m,S44m
2000.0,-3.078556373749053,0.6951809023690293,-0.7570772062191649,2.3604524841484604,0.5391226548847927,-3.097815030465197,-0.7824398860356854,-0.799958350015501,-0.760757596228531,-0.7818130167599023,3.1246654887632763,-2.50094364831525,2.3558096272001663,-0.800276716513206,-2.6206388930045543,3.138369417592383,0.03663248287610422,0.007631350644225128,0.6653086516208778,0.5542517079033231,0.008376941799955238,0.045188081130202715,0.5541595176458551,0.6500172127270524,0.6598068591838037,0.5541081750600534,0.04613761024874371,0.007705311048647907,0.5494523205690407,0.6497110655972692,0.008431711126717237,0.04535406300421043
1996.0,-3.057343612501828,0.7459065778381002,-0.5087523068982598,2.6834562200119305,0.6519291031085854,-3.11866291648712,-0.45947305875521205,-0.40322672572264906,-0.5123886105100443,-0.45880997842714244,3.14216576625725,-2.451373662776591,2.6788173440051697,-0.40355294757898236,-2.5094356650521377,3.1324993367714526,0.036513768246111876,0.007525167151497471,0.6710684495038596,0.5506373555106614,0.008296167126289031,0.04330955152497022,0.550581298392646,0.6567541331926295,0.6655585350642662,0.5504916576304405,0.045864293591901084,0.007616791147150037,0.5459443187082804,0.6564473144078373,0.008365888686089562,0.04424125959586674
1992.015968063872,-3.0322486373115396,0.7983122648153905,-0.25990024489033214,3.0071199486863973,0.7695180040988947,-3.1426964848605676,-0.13585912946474077,-0.0060404936860118785,-0.2634937672480854,-0.1351526008505189,3.162487873610061,-2.3983812656598626,3.0024677563982736,-0.006377833456497465,-2.3933031303331616,3.130689188046144,0.03616530732500388,0.0076487080707119195,0.6767450115408723,0.5469119617075123,0.008115156238964824,0.042489447153426625,0.5468955162528119,0.6632296989664573,0.6712281891690867,0.5467668406895196,0.04534466867364792,0.007761340536172327,0.5423287467447802,0.6629270925782933,0.00819980630948125,0.04342318514880007
1988.0478087649403,-3.0060492595070953,0.8779030639971858,-0.010528122653352094,3.3314418404215216,0.888919549081629,-3.151254839686518,0.1884106539391599,0.3916555647807219,-0.014080175362979307,0.18916376394820955,3.183234455761543,-2.3169591242604315,3.326769876808674,0.3913106179552305,-2.2752549597728544,3.136040010088379,0.035554372957241925,0.007970896162517515,0.6823378947251021,0.5431007786364705,0.007830765444551968,0.04226744728656636,0.5431249194507952,0.6694337731976416,0.6768153523510341,0.5429602293314987,0.044553326061833654,0.00809827962005993,0.538627826290383,0.6691412044403411,0.007929924134658968,0.042513474479993645
1984.0954274353878,-2.9817535435022737,0.9992767902561185,0.2393572568336347,3.656419328528756,1.0068985918703657,-3.1412732647101174,0.5133378233079465,0.7899240876085298,0.2358453958353238,0.5141425711495548,3.2018732295354084,-2.1936945745918823,3.651725671138641,0.7895808046365533,-2.1585351656152936,3.142822667983021,0.03469345261178925,0.00834129846375095,0.6878465267582515,0.5392316799619179,0.007448598200445365,0.041761784948551345,0.539292654958853,0.6753724660946915,0.6823194304736776,0.5390979648535348,0.04351332057721895,0.008470575415066108,0.5348642231864522,0.6750929648504951,0.007561685409892549,0.04114120029115246
1980.1587301587304,-2.962270873615857,1.16227094743624,0.4897487262975916,3.9820489293505643,1.119869868992402,-3.1274758105827902,0.83891567189006,1.1888295671591884,0.48627585003033197,0.8397820559029033,3.216061484074748,-2.029625150857869,3.9773290231438825,1.1884981593506134,-2.0466845053804517,3.1377040998558123,0.033638366920881554,0.008568276067795021,0.6932702326934184,0.5353304531662866,0.00698252699132012,0.040328801615608874,0.5354214055161635,0.6810630309297162,0.6877397221832778,0.535202412047651,0.04229261380329991,0.008684831189102153,0.5310601979833254,0.6807946149057834,0.007108958966768874,0.039247989827985726
1976.2376237623757,-2.950018333429483,1.3585143460287106,0.740638197795037,4.308320887712603,1.223786542057692,-3.1351245018909335,1.1651286740460305,1.5884277488821472,0.7372031975624816,1.166068949217925,3.224017368347972,-1.8335583733851832,4.303565123460492,1.588113760328699,-1.9436239216701785,3.1053275088587786,0.03248104748861708,0.00848767603441094,0.6986084092932427,0.5314173095730986,0.006454019361784242,0.038047878334263735,0.5315326428446957,0.6865288661262501,0.6930755853099182,0.5312909984288933,0.04099412612617265,0.008578420306559474,0.5272368713433981,0.6862653184515342,0.006593260252494784,0.037270988533327824
1972.3320158102767,-2.946418328690459,1.5771014044416767,0.9920163103561247,4.635211823477564,1.3140853947872495,-3.1874131708918276,1.4919524592289213,1.9887535683391189,0.9886181888088905,1.4929736184913822,3.2249357255929003,-1.6167779957199313,4.630410402705244,1.9884549757503596,-1.853668952969404,3.040099305629936,0.031336328663432736,0.007995414875306538,0.703860805270834,0.5275065203053991,0.005891320197694277,0.035890502763733095,0.5276459944067688,0.691797401006976,0.6983267125035792,0.5273776717156555,0.039739195660716466,0.008050695110324519,0.5234136024479962,0.6915316035485328,0.006042784100230557,0.03609315389480331
1968.441814595661,-2.9513527140425366,1.8058201806885343,1.2438723342532085,4.962680334304663,1.3858625653720564,-3.280400482917538,1.8193543961976317,2.389812951516466,1.2405102036390103,1.8204498794640862,3.2193537192192863,-1.3922932813433215,4.95783306925749,2.3895217162975233,-1.7813124561482014,2.960570818659526,0.03032224375233954,0.007056618474968597,0.7090278379553522,0.5236091737949903,0.005328377733407905,0.03537356302168899,0.5237787051767397,0.6969014318599377,0.7034934481425535,0.5234758203820977,0.03864507270431248,0.007071847742005395,0.5196074618148656,0.6966291897117282,0.00549111512928377,0.036594481057835214
1964.566929133858,-2.9628166910566907,2.027637175595737,1.4961943294200155,5.290669235596493,1.4346069768365362,-3.366261830678389,2.1472947692459785,2.791582463686766,1.4928673981826095,2.1484403894562045,3.209266071462458,-1.1792544910482836,5.2857942385897925,2.7912894626313074,-1.730499309196463,2.9037242519481445,0.02953536646952081,0.0057053817364237,0.7141108652315926,0.5197370951582511,0.004803057819109898,0.0374147031147036,0.5199451718300298,0.7018818571958203,0.7085770655459952,0.5196006541392745,0.03779961377158394,0.005683522508382269,0.5158327749910184,0.7016038588694063,0.004975172517675408,0.03894189394591912
